row_id,variant_id,base_model,model,rating,label,iteration,timestamp,source
llama-pro_subject_matter_02_20250617_185320,llama-pro_subject_matter,llama-pro,subject_matter,4,Very feasible,2,20250617_185320,llm
llama-pro_subject_matter2_02_20250617_185320,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,2,20250617_185320,llm
llama-pro_generalist_03_20250617_185431,llama-pro_generalist,llama-pro,generalist,4,Very feasible,3,20250617_185431,llm
llama-pro_generalist2_03_20250617_185431,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,3,20250617_185431,llm
llama-pro_normative_03_20250617_185431,llama-pro_normative,llama-pro,normative,3,Feasible,3,20250617_185431,llm
llama-pro_normative2_03_20250617_185431,llama-pro_normative2,llama-pro,normative2,3,Feasible,3,20250617_185431,llm
llama-pro_subject_matter_03_20250617_185431,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,3,20250617_185431,llm
llama-pro_subject_matter2_03_20250617_185431,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,3,20250617_185431,llm
llama-pro_generalist_04_20250617_190229,llama-pro_generalist,llama-pro,generalist,2,Somewhat feasible,4,20250617_190229,llm
llama-pro_generalist2_04_20250617_190229,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,4,20250617_190229,llm
llama-pro_normative_04_20250617_190229,llama-pro_normative,llama-pro,normative,4,Very feasible,4,20250617_190229,llm
llama-pro_normative2_04_20250617_190229,llama-pro_normative2,llama-pro,normative2,3,Feasible,4,20250617_190229,llm
llama-pro_subject_matter_04_20250617_190229,llama-pro_subject_matter,llama-pro,subject_matter,2,Somewhat feasible,4,20250617_190229,llm
llama-pro_subject_matter2_04_20250617_190229,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,4,20250617_190229,llm
llama-pro_generalist_05_20250617_190254,llama-pro_generalist,llama-pro,generalist,3,Feasible,5,20250617_190254,llm
llama-pro_generalist2_05_20250617_190254,llama-pro_generalist2,llama-pro,generalist2,4,Very feasible,5,20250617_190254,llm
llama-pro_normative_05_20250617_190254,llama-pro_normative,llama-pro,normative,3,Feasible,5,20250617_190254,llm
llama-pro_normative2_05_20250617_190254,llama-pro_normative2,llama-pro,normative2,3,Feasible,5,20250617_190254,llm
llama-pro_subject_matter_05_20250617_190254,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,5,20250617_190254,llm
llama-pro_subject_matter2_05_20250617_190254,llama-pro_subject_matter2,llama-pro,subject_matter2,4,Very feasible,5,20250617_190254,llm
llama-pro_generalist_06_20250617_190315,llama-pro_generalist,llama-pro,generalist,4,Very feasible,6,20250617_190315,llm
llama-pro_generalist2_06_20250617_190315,llama-pro_generalist2,llama-pro,generalist2,2,Somewhat feasible,6,20250617_190315,llm
llama-pro_normative_06_20250617_190315,llama-pro_normative,llama-pro,normative,4,Very feasible,6,20250617_190315,llm
llama-pro_normative2_06_20250617_190315,llama-pro_normative2,llama-pro,normative2,3,Feasible,6,20250617_190315,llm
llama-pro_subject_matter_06_20250617_190315,llama-pro_subject_matter,llama-pro,subject_matter,4,Very feasible,6,20250617_190315,llm
llama-pro_subject_matter2_06_20250617_190315,llama-pro_subject_matter2,llama-pro,subject_matter2,4,Very feasible,6,20250617_190315,llm
llama-pro_generalist_07_20250617_190335,llama-pro_generalist,llama-pro,generalist,3,Feasible,7,20250617_190335,llm
llama-pro_generalist2_07_20250617_190335,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,7,20250617_190335,llm
llama-pro_normative_07_20250617_190335,llama-pro_normative,llama-pro,normative,3,Feasible,7,20250617_190335,llm
llama-pro_normative2_07_20250617_190335,llama-pro_normative2,llama-pro,normative2,3,Feasible,7,20250617_190335,llm
llama-pro_subject_matter_07_20250617_190335,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,7,20250617_190335,llm
llama-pro_subject_matter2_07_20250617_190335,llama-pro_subject_matter2,llama-pro,subject_matter2,4,Very feasible,7,20250617_190335,llm
llama-pro_generalist_08_20250617_190653,llama-pro_generalist,llama-pro,generalist,3,Feasible,8,20250617_190653,llm
llama-pro_generalist2_08_20250617_190653,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,8,20250617_190653,llm
llama-pro_normative_08_20250617_190653,llama-pro_normative,llama-pro,normative,3,Feasible,8,20250617_190653,llm
llama-pro_normative2_08_20250617_190653,llama-pro_normative2,llama-pro,normative2,3,Feasible,8,20250617_190653,llm
llama-pro_subject_matter_08_20250617_190653,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,8,20250617_190653,llm
llama-pro_subject_matter2_08_20250617_190653,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,8,20250617_190653,llm
llama-pro_generalist_09_20250617_190735,llama-pro_generalist,llama-pro,generalist,2,Somewhat feasible,9,20250617_190735,llm
llama-pro_generalist2_09_20250617_190735,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,9,20250617_190735,llm
llama-pro_normative_09_20250617_190735,llama-pro_normative,llama-pro,normative,3,Feasible,9,20250617_190735,llm
llama-pro_normative2_09_20250617_190735,llama-pro_normative2,llama-pro,normative2,3,Feasible,9,20250617_190735,llm
llama-pro_subject_matter_09_20250617_190735,llama-pro_subject_matter,llama-pro,subject_matter,2,Somewhat feasible,9,20250617_190735,llm
llama-pro_subject_matter2_09_20250617_190735,llama-pro_subject_matter2,llama-pro,subject_matter2,2,Somewhat feasible,9,20250617_190735,llm
llama-pro_generalist_10_20250617_190852,llama-pro_generalist,llama-pro,generalist,1,Not feasible,10,20250617_190852,llm
llama-pro_generalist2_10_20250617_190852,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,10,20250617_190852,llm
llama-pro_normative_10_20250617_190852,llama-pro_normative,llama-pro,normative,3,Feasible,10,20250617_190852,llm
llama-pro_normative2_10_20250617_190852,llama-pro_normative2,llama-pro,normative2,1,Not feasible,10,20250617_190852,llm
llama-pro_subject_matter_10_20250617_190852,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,10,20250617_190852,llm
llama-pro_subject_matter2_10_20250617_190852,llama-pro_subject_matter2,llama-pro,subject_matter2,1,Not feasible,10,20250617_190852,llm
llama-pro_generalist_11_20250617_190911,llama-pro_generalist,llama-pro,generalist,3,Feasible,11,20250617_190911,llm
llama-pro_generalist2_11_20250617_190911,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,11,20250617_190911,llm
llama-pro_normative_11_20250617_190911,llama-pro_normative,llama-pro,normative,3,Feasible,11,20250617_190911,llm
llama-pro_normative2_11_20250617_190911,llama-pro_normative2,llama-pro,normative2,3,Feasible,11,20250617_190911,llm
llama-pro_subject_matter_11_20250617_190911,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,11,20250617_190911,llm
llama-pro_subject_matter2_11_20250617_190911,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,11,20250617_190911,llm
llama-pro_generalist_12_20250617_190930,llama-pro_generalist,llama-pro,generalist,3,Feasible,12,20250617_190930,llm
llama-pro_generalist2_12_20250617_190930,llama-pro_generalist2,llama-pro,generalist2,2,Somewhat feasible,12,20250617_190930,llm
llama-pro_normative_12_20250617_190930,llama-pro_normative,llama-pro,normative,4,Very feasible,12,20250617_190930,llm
llama-pro_normative2_12_20250617_190930,llama-pro_normative2,llama-pro,normative2,3,Feasible,12,20250617_190930,llm
llama-pro_subject_matter_12_20250617_190930,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,12,20250617_190930,llm
llama-pro_subject_matter2_12_20250617_190930,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,12,20250617_190930,llm
llama-pro_generalist_13_20250617_190949,llama-pro_generalist,llama-pro,generalist,4,Very feasible,13,20250617_190949,llm
llama-pro_generalist2_13_20250617_190949,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,13,20250617_190949,llm
llama-pro_normative_13_20250617_190949,llama-pro_normative,llama-pro,normative,3,Feasible,13,20250617_190949,llm
llama-pro_normative2_13_20250617_190949,llama-pro_normative2,llama-pro,normative2,3,Feasible,13,20250617_190949,llm
llama-pro_subject_matter_13_20250617_190949,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,13,20250617_190949,llm
llama-pro_subject_matter2_13_20250617_190949,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,13,20250617_190949,llm
llama-pro_generalist_14_20250617_191008,llama-pro_generalist,llama-pro,generalist,1,Not feasible,14,20250617_191008,llm
llama-pro_generalist2_14_20250617_191008,llama-pro_generalist2,llama-pro,generalist2,2,Somewhat feasible,14,20250617_191008,llm
llama-pro_normative_14_20250617_191008,llama-pro_normative,llama-pro,normative,4,Very feasible,14,20250617_191008,llm
llama-pro_normative2_14_20250617_191008,llama-pro_normative2,llama-pro,normative2,2,Somewhat feasible,14,20250617_191008,llm
llama-pro_subject_matter_14_20250617_191008,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,14,20250617_191008,llm
llama-pro_subject_matter2_14_20250617_191008,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,14,20250617_191008,llm
llama-pro_generalist_15_20250617_191027,llama-pro_generalist,llama-pro,generalist,2,Somewhat feasible,15,20250617_191027,llm
llama-pro_generalist2_15_20250617_191027,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,15,20250617_191027,llm
llama-pro_normative_15_20250617_191027,llama-pro_normative,llama-pro,normative,3,Feasible,15,20250617_191027,llm
llama-pro_normative2_15_20250617_191027,llama-pro_normative2,llama-pro,normative2,2,Somewhat feasible,15,20250617_191027,llm
llama-pro_subject_matter_15_20250617_191027,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,15,20250617_191027,llm
llama-pro_subject_matter2_15_20250617_191027,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,15,20250617_191027,llm
llama-pro_generalist_16_20250617_191046,llama-pro_generalist,llama-pro,generalist,3,Feasible,16,20250617_191046,llm
llama-pro_generalist2_16_20250617_191046,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,16,20250617_191046,llm
llama-pro_normative_16_20250617_191046,llama-pro_normative,llama-pro,normative,3,Feasible,16,20250617_191046,llm
llama-pro_normative2_16_20250617_191046,llama-pro_normative2,llama-pro,normative2,3,Feasible,16,20250617_191046,llm
llama-pro_subject_matter_16_20250617_191046,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,16,20250617_191046,llm
llama-pro_subject_matter2_16_20250617_191046,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,16,20250617_191046,llm
llama-pro_generalist_17_20250617_191112,llama-pro_generalist,llama-pro,generalist,3,Feasible,17,20250617_191112,llm
llama-pro_generalist2_17_20250617_191112,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,17,20250617_191112,llm
llama-pro_normative_17_20250617_191112,llama-pro_normative,llama-pro,normative,4,Very feasible,17,20250617_191112,llm
llama-pro_normative2_17_20250617_191112,llama-pro_normative2,llama-pro,normative2,4,Very feasible,17,20250617_191112,llm
llama-pro_subject_matter_17_20250617_191112,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,17,20250617_191112,llm
llama-pro_subject_matter2_17_20250617_191112,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,17,20250617_191112,llm
llama-pro_generalist_18_20250617_191130,llama-pro_generalist,llama-pro,generalist,3,Feasible,18,20250617_191130,llm
llama-pro_generalist2_18_20250617_191130,llama-pro_generalist2,llama-pro,generalist2,4,Very feasible,18,20250617_191130,llm
llama-pro_normative_18_20250617_191130,llama-pro_normative,llama-pro,normative,4,Very feasible,18,20250617_191130,llm
llama-pro_normative2_18_20250617_191130,llama-pro_normative2,llama-pro,normative2,3,Feasible,18,20250617_191130,llm
llama-pro_subject_matter_18_20250617_191130,llama-pro_subject_matter,llama-pro,subject_matter,2,Somewhat feasible,18,20250617_191130,llm
llama-pro_subject_matter2_18_20250617_191130,llama-pro_subject_matter2,llama-pro,subject_matter2,4,Very feasible,18,20250617_191130,llm
llama-pro_generalist_19_20250617_191150,llama-pro_generalist,llama-pro,generalist,2,Somewhat feasible,19,20250617_191150,llm
llama-pro_generalist2_19_20250617_191150,llama-pro_generalist2,llama-pro,generalist2,1,Not feasible,19,20250617_191150,llm
llama-pro_normative_19_20250617_191150,llama-pro_normative,llama-pro,normative,4,Very feasible,19,20250617_191150,llm
llama-pro_normative2_19_20250617_191150,llama-pro_normative2,llama-pro,normative2,2,Somewhat feasible,19,20250617_191150,llm
llama-pro_subject_matter_19_20250617_191150,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,19,20250617_191150,llm
llama-pro_subject_matter2_19_20250617_191150,llama-pro_subject_matter2,llama-pro,subject_matter2,2,Somewhat feasible,19,20250617_191150,llm
llama-pro_generalist_20_20250617_191208,llama-pro_generalist,llama-pro,generalist,3,Feasible,20,20250617_191208,llm
llama-pro_generalist2_20_20250617_191208,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,20,20250617_191208,llm
llama-pro_normative_20_20250617_191208,llama-pro_normative,llama-pro,normative,4,Very feasible,20,20250617_191208,llm
llama-pro_normative2_20_20250617_191208,llama-pro_normative2,llama-pro,normative2,2,Somewhat feasible,20,20250617_191208,llm
llama-pro_subject_matter_20_20250617_191208,llama-pro_subject_matter,llama-pro,subject_matter,4,Very feasible,20,20250617_191208,llm
llama-pro_subject_matter2_20_20250617_191208,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,20,20250617_191208,llm
llama-pro_generalist_21_20250617_191227,llama-pro_generalist,llama-pro,generalist,3,Feasible,21,20250617_191227,llm
llama-pro_generalist2_21_20250617_191227,llama-pro_generalist2,llama-pro,generalist2,1,Not feasible,21,20250617_191227,llm
llama-pro_normative_21_20250617_191227,llama-pro_normative,llama-pro,normative,3,Feasible,21,20250617_191227,llm
llama-pro_normative2_21_20250617_191227,llama-pro_normative2,llama-pro,normative2,2,Somewhat feasible,21,20250617_191227,llm
llama-pro_subject_matter_21_20250617_191227,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,21,20250617_191227,llm
llama-pro_subject_matter2_21_20250617_191227,llama-pro_subject_matter2,llama-pro,subject_matter2,2,Somewhat feasible,21,20250617_191227,llm
llama-pro_generalist_22_20250617_191246,llama-pro_generalist,llama-pro,generalist,2,Somewhat feasible,22,20250617_191246,llm
llama-pro_generalist2_22_20250617_191246,llama-pro_generalist2,llama-pro,generalist2,2,Somewhat feasible,22,20250617_191246,llm
llama-pro_normative_22_20250617_191246,llama-pro_normative,llama-pro,normative,4,Very feasible,22,20250617_191246,llm
llama-pro_normative2_22_20250617_191246,llama-pro_normative2,llama-pro,normative2,3,Feasible,22,20250617_191246,llm
llama-pro_subject_matter_22_20250617_191246,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,22,20250617_191246,llm
llama-pro_subject_matter2_22_20250617_191246,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,22,20250617_191246,llm
llama-pro_generalist_23_20250617_191304,llama-pro_generalist,llama-pro,generalist,3,Feasible,23,20250617_191304,llm
llama-pro_generalist2_23_20250617_191304,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,23,20250617_191304,llm
llama-pro_normative_23_20250617_191304,llama-pro_normative,llama-pro,normative,2,Somewhat feasible,23,20250617_191304,llm
llama-pro_normative2_23_20250617_191304,llama-pro_normative2,llama-pro,normative2,3,Feasible,23,20250617_191304,llm
llama-pro_subject_matter_23_20250617_191304,llama-pro_subject_matter,llama-pro,subject_matter,2,Somewhat feasible,23,20250617_191304,llm
llama-pro_subject_matter2_23_20250617_191304,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,23,20250617_191304,llm
llama-pro_generalist_24_20250617_191324,llama-pro_generalist,llama-pro,generalist,3,Feasible,24,20250617_191324,llm
llama-pro_generalist2_24_20250617_191324,llama-pro_generalist2,llama-pro,generalist2,2,Somewhat feasible,24,20250617_191324,llm
llama-pro_normative_24_20250617_191324,llama-pro_normative,llama-pro,normative,3,Feasible,24,20250617_191324,llm
llama-pro_normative2_24_20250617_191324,llama-pro_normative2,llama-pro,normative2,3,Feasible,24,20250617_191324,llm
llama-pro_subject_matter_24_20250617_191324,llama-pro_subject_matter,llama-pro,subject_matter,2,Somewhat feasible,24,20250617_191324,llm
llama-pro_subject_matter2_24_20250617_191324,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,24,20250617_191324,llm
llama-pro_generalist_25_20250617_191343,llama-pro_generalist,llama-pro,generalist,3,Feasible,25,20250617_191343,llm
llama-pro_generalist2_25_20250617_191343,llama-pro_generalist2,llama-pro,generalist2,2,Somewhat feasible,25,20250617_191343,llm
llama-pro_normative_25_20250617_191343,llama-pro_normative,llama-pro,normative,3,Feasible,25,20250617_191343,llm
llama-pro_normative2_25_20250617_191343,llama-pro_normative2,llama-pro,normative2,2,Somewhat feasible,25,20250617_191343,llm
llama-pro_subject_matter_25_20250617_191343,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,25,20250617_191343,llm
llama-pro_subject_matter2_25_20250617_191343,llama-pro_subject_matter2,llama-pro,subject_matter2,1,Not feasible,25,20250617_191343,llm
llama-pro_generalist_26_20250617_191402,llama-pro_generalist,llama-pro,generalist,2,Somewhat feasible,26,20250617_191402,llm
llama-pro_generalist2_26_20250617_191402,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,26,20250617_191402,llm
llama-pro_normative_26_20250617_191402,llama-pro_normative,llama-pro,normative,3,Feasible,26,20250617_191402,llm
llama-pro_normative2_26_20250617_191402,llama-pro_normative2,llama-pro,normative2,3,Feasible,26,20250617_191402,llm
llama-pro_subject_matter_26_20250617_191402,llama-pro_subject_matter,llama-pro,subject_matter,4,Very feasible,26,20250617_191402,llm
llama-pro_subject_matter2_26_20250617_191402,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,26,20250617_191402,llm
llama-pro_generalist_27_20250617_191422,llama-pro_generalist,llama-pro,generalist,3,Feasible,27,20250617_191422,llm
llama-pro_generalist2_27_20250617_191422,llama-pro_generalist2,llama-pro,generalist2,2,Somewhat feasible,27,20250617_191422,llm
llama-pro_normative_27_20250617_191422,llama-pro_normative,llama-pro,normative,4,Very feasible,27,20250617_191422,llm
llama-pro_normative2_27_20250617_191422,llama-pro_normative2,llama-pro,normative2,1,Not feasible,27,20250617_191422,llm
llama-pro_subject_matter_27_20250617_191422,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,27,20250617_191422,llm
llama-pro_subject_matter2_27_20250617_191422,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,27,20250617_191422,llm
llama-pro_generalist_28_20250617_191441,llama-pro_generalist,llama-pro,generalist,2,Somewhat feasible,28,20250617_191441,llm
llama-pro_generalist2_28_20250617_191441,llama-pro_generalist2,llama-pro,generalist2,2,Somewhat feasible,28,20250617_191441,llm
llama-pro_normative_28_20250617_191441,llama-pro_normative,llama-pro,normative,4,Very feasible,28,20250617_191441,llm
llama-pro_normative2_28_20250617_191441,llama-pro_normative2,llama-pro,normative2,3,Feasible,28,20250617_191441,llm
llama-pro_subject_matter_28_20250617_191441,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,28,20250617_191441,llm
llama-pro_subject_matter2_28_20250617_191441,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,28,20250617_191441,llm
llama-pro_generalist_29_20250617_191500,llama-pro_generalist,llama-pro,generalist,3,Feasible,29,20250617_191500,llm
llama-pro_generalist2_29_20250617_191500,llama-pro_generalist2,llama-pro,generalist2,4,Very feasible,29,20250617_191500,llm
llama-pro_normative_29_20250617_191500,llama-pro_normative,llama-pro,normative,4,Very feasible,29,20250617_191500,llm
llama-pro_normative2_29_20250617_191500,llama-pro_normative2,llama-pro,normative2,3,Feasible,29,20250617_191500,llm
llama-pro_subject_matter_29_20250617_191500,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,29,20250617_191500,llm
llama-pro_subject_matter2_29_20250617_191500,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,29,20250617_191500,llm
llama-pro_generalist_30_20250617_191519,llama-pro_generalist,llama-pro,generalist,3,Feasible,30,20250617_191519,llm
llama-pro_generalist2_30_20250617_191519,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,30,20250617_191519,llm
llama-pro_normative_30_20250617_191519,llama-pro_normative,llama-pro,normative,2,Somewhat feasible,30,20250617_191519,llm
llama-pro_normative2_30_20250617_191519,llama-pro_normative2,llama-pro,normative2,3,Feasible,30,20250617_191519,llm
llama-pro_subject_matter_30_20250617_191519,llama-pro_subject_matter,llama-pro,subject_matter,2,Somewhat feasible,30,20250617_191519,llm
llama-pro_subject_matter2_30_20250617_191519,llama-pro_subject_matter2,llama-pro,subject_matter2,4,Very feasible,30,20250617_191519,llm
llama-pro_generalist_31_20250617_191538,llama-pro_generalist,llama-pro,generalist,3,Feasible,31,20250617_191538,llm
llama-pro_generalist2_31_20250617_191538,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,31,20250617_191538,llm
llama-pro_normative_31_20250617_191538,llama-pro_normative,llama-pro,normative,3,Feasible,31,20250617_191538,llm
llama-pro_normative2_31_20250617_191538,llama-pro_normative2,llama-pro,normative2,3,Feasible,31,20250617_191538,llm
llama-pro_subject_matter_31_20250617_191538,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,31,20250617_191538,llm
llama-pro_subject_matter2_31_20250617_191538,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,31,20250617_191538,llm
llama-pro_generalist_32_20250617_191557,llama-pro_generalist,llama-pro,generalist,3,Feasible,32,20250617_191557,llm
llama-pro_generalist2_32_20250617_191557,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,32,20250617_191557,llm
llama-pro_normative_32_20250617_191557,llama-pro_normative,llama-pro,normative,3,Feasible,32,20250617_191557,llm
llama-pro_normative2_32_20250617_191557,llama-pro_normative2,llama-pro,normative2,2,Somewhat feasible,32,20250617_191557,llm
llama-pro_subject_matter_32_20250617_191557,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,32,20250617_191557,llm
llama-pro_subject_matter2_32_20250617_191557,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,32,20250617_191557,llm
llama-pro_generalist_33_20250617_191615,llama-pro_generalist,llama-pro,generalist,2,Somewhat feasible,33,20250617_191615,llm
llama-pro_generalist2_33_20250617_191615,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,33,20250617_191615,llm
llama-pro_normative_33_20250617_191615,llama-pro_normative,llama-pro,normative,3,Feasible,33,20250617_191615,llm
llama-pro_normative2_33_20250617_191615,llama-pro_normative2,llama-pro,normative2,3,Feasible,33,20250617_191615,llm
llama-pro_subject_matter_33_20250617_191615,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,33,20250617_191615,llm
llama-pro_subject_matter2_33_20250617_191615,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,33,20250617_191615,llm
llama-pro_generalist_34_20250617_191634,llama-pro_generalist,llama-pro,generalist,3,Feasible,34,20250617_191634,llm
llama-pro_generalist2_34_20250617_191634,llama-pro_generalist2,llama-pro,generalist2,4,Very feasible,34,20250617_191634,llm
llama-pro_normative_34_20250617_191634,llama-pro_normative,llama-pro,normative,3,Feasible,34,20250617_191634,llm
llama-pro_normative2_34_20250617_191634,llama-pro_normative2,llama-pro,normative2,4,Very feasible,34,20250617_191634,llm
llama-pro_subject_matter_34_20250617_191634,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,34,20250617_191634,llm
llama-pro_subject_matter2_34_20250617_191634,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,34,20250617_191634,llm
llama-pro_generalist_35_20250617_191652,llama-pro_generalist,llama-pro,generalist,3,Feasible,35,20250617_191652,llm
llama-pro_generalist2_35_20250617_191652,llama-pro_generalist2,llama-pro,generalist2,2,Somewhat feasible,35,20250617_191652,llm
llama-pro_normative_35_20250617_191652,llama-pro_normative,llama-pro,normative,3,Feasible,35,20250617_191652,llm
llama-pro_normative2_35_20250617_191652,llama-pro_normative2,llama-pro,normative2,4,Very feasible,35,20250617_191652,llm
llama-pro_subject_matter_35_20250617_191652,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,35,20250617_191652,llm
llama-pro_subject_matter2_35_20250617_191652,llama-pro_subject_matter2,llama-pro,subject_matter2,3,Feasible,35,20250617_191652,llm
llama-pro_generalist_36_20250617_191713,llama-pro_generalist,llama-pro,generalist,2,Somewhat feasible,36,20250617_191713,llm
llama-pro_generalist2_36_20250617_191713,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,36,20250617_191713,llm
llama-pro_normative_36_20250617_191713,llama-pro_normative,llama-pro,normative,3,Feasible,36,20250617_191713,llm
llama-pro_normative2_36_20250617_191713,llama-pro_normative2,llama-pro,normative2,4,Very feasible,36,20250617_191713,llm
llama-pro_subject_matter_36_20250617_191713,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,36,20250617_191713,llm
llama-pro_subject_matter2_36_20250617_191713,llama-pro_subject_matter2,llama-pro,subject_matter2,2,Somewhat feasible,36,20250617_191713,llm
llama-pro_generalist_37_20250617_191731,llama-pro_generalist,llama-pro,generalist,3,Feasible,37,20250617_191731,llm
llama-pro_generalist2_37_20250617_191731,llama-pro_generalist2,llama-pro,generalist2,3,Feasible,37,20250617_191731,llm
llama-pro_normative_37_20250617_191731,llama-pro_normative,llama-pro,normative,3,Feasible,37,20250617_191731,llm
llama-pro_normative2_37_20250617_191731,llama-pro_normative2,llama-pro,normative2,3,Feasible,37,20250617_191731,llm
llama-pro_subject_matter_37_20250617_191731,llama-pro_subject_matter,llama-pro,subject_matter,3,Feasible,37,20250617_191731,llm
