row_id,base_model,variant_id,model,barrier_id,model_barrier_id,official_label,model_label,label_status,barrier_id_status,is_hallucinated,similarity,iteration,timestamp,truncated,condition,anchor_type,anchor_level
ANCHOR_WORD_phi4_subject-matter_00_b2_20260703_075506,phi4,phi4_subject-matter,subject-matter,2,2,reduced reliability in DC devices,reduced reliability in DC devices,matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_subject-matter_00_b4_20260703_075506,phi4,phi4_subject-matter,subject-matter,4,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_subject-matter_00_b8_20260703_075506,phi4,phi4_subject-matter,subject-matter,8,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_subject-matter_00_b10_20260703_075506,phi4,phi4_subject-matter,subject-matter,10,10,uncertain regulatory roadmap,uncertain regulatory roadmap,matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_generalist_00_b5_20260703_075506,llama,llama_generalist,generalist,5,5,lack of pilot projects,Lack of pilot projects,matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_generalist_00_b6_20260703_075506,llama,llama_generalist,generalist,6,6,public perception of DC and readiness to 'champion' installations from DC projects,Public perception of DC and readiness to 'champion' installations from DC projects,matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_generalist_00_b7_20260703_075506,llama,llama_generalist,generalist,7,7,incompatibility of DC systems components,Incompatibility of DC systems components,matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_generalist_00_b8_20260703_075506,llama,llama_generalist,generalist,8,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,Misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_generalist_00_b9_20260703_075506,llama,llama_generalist,generalist,9,9,lack of enough trained personnel in DC systems,Lack of enough trained personnel in DC systems,matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_normative_00_b1_20260703_075506,llama,llama_normative,normative,1,1,"power losses, quality and safety issues","Power losses, quality, and safety issues",matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_normative_00_b2_20260703_075506,llama,llama_normative,normative,2,2,reduced reliability in DC devices,Reduced reliability in DC devices,matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_normative_00_b3_20260703_075506,llama,llama_normative,normative,3,3,lack of use-cases in which DC is advantageous,Lack of use-cases in which DC is advantageous,matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_normative_00_b4_20260703_075506,llama,llama_normative,normative,4,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","Uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_normative_00_b5_20260703_075506,llama,llama_normative,normative,5,5,lack of pilot projects,Lack of pilot projects,matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_subject-matter_00_b1_20260703_075506,llama,llama_subject-matter,subject-matter,1,1,"power losses, quality and safety issues","Power losses, quality, and safety issues (Barrier #1)",matched_by_fuzzy_prefix,correct_id_fuzzy_prefix,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_subject-matter_00_b3_20260703_075506,llama,llama_subject-matter,subject-matter,3,2,lack of use-cases in which DC is advantageous,Lack of use-cases in which DC is advantageous (Barrier #3),matched_by_fuzzy_prefix,corrected_from_fuzzy_prefix,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_subject-matter_00_b4_20260703_075506,llama,llama_subject-matter,subject-matter,4,3,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","Uncertain utility interaction (net metering, utility ownership, and agreed standards) (Barrier #4)",matched_by_fuzzy_prefix,corrected_from_fuzzy_prefix,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_subject-matter_00_b7_20260703_075506,llama,llama_subject-matter,subject-matter,7,4,incompatibility of DC systems components,Incompatibility of DC systems components (Barrier #7),matched_by_fuzzy_prefix,corrected_from_fuzzy_prefix,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_subject-matter_00_b8_20260703_075506,llama,llama_subject-matter,subject-matter,8,5,misconception and lack of knowledge leads to lengthy/expensive design and permit process,Misconception and lack of knowledge leads to lengthy/expensive design and permit process (Barrier #8),matched_by_fuzzy_prefix,corrected_from_fuzzy_prefix,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_mistral_generalist_00_b1_20260703_075506,mistral,mistral_generalist,generalist,1,1,"power losses, quality and safety issues","Power losses, quality, and safety issues",matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_mistral_generalist_00_b2_20260703_075506,mistral,mistral_generalist,generalist,2,2,reduced reliability in DC devices,Reduced reliability in DC devices,matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_mistral_generalist_00_b3_20260703_075506,mistral,mistral_generalist,generalist,3,3,lack of use-cases in which DC is advantageous,Lack of use-cases in which DC is advantageous,matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_mistral_generalist_00_b4_20260703_075506,mistral,mistral_generalist,generalist,4,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","Uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_mistral_generalist_00_b5_20260703_075506,mistral,mistral_generalist,generalist,5,5,lack of pilot projects,Lack of pilot projects,matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_mistral_normative_00_b1_20260703_075506,mistral,mistral_normative,normative,1,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_mistral_normative_00_b2_20260703_075506,mistral,mistral_normative,normative,2,2,reduced reliability in DC devices,reduced reliability in DC devices,matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_mistral_normative_00_b4_20260703_075506,mistral,mistral_normative,normative,4,3,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,corrected_from_label,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_mistral_normative_00_b5_20260703_075506,mistral,mistral_normative,normative,5,4,lack of pilot projects,lack of pilot projects,matched,corrected_from_label,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_mistral_normative_00_b6_20260703_075506,mistral,mistral_normative,normative,6,5,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,corrected_from_label,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_mistral_subject-matter_00_b1_20260703_075506,mistral,mistral_subject-matter,subject-matter,1,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_mistral_subject-matter_00_b2_20260703_075506,mistral,mistral_subject-matter,subject-matter,2,2,reduced reliability in DC devices,reduced reliability in DC devices,matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_mistral_subject-matter_00_b3_20260703_075506,mistral,mistral_subject-matter,subject-matter,3,3,lack of use-cases in which DC is advantageous,lack of use-cases in which DC is advantageous,matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_mistral_subject-matter_00_b4_20260703_075506,mistral,mistral_subject-matter,subject-matter,4,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_mistral_subject-matter_00_b5_20260703_075506,mistral,mistral_subject-matter,subject-matter,5,5,lack of pilot projects,lack of pilot projects,matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_gemma3_generalist_00_b1_20260703_075506,gemma3,gemma3_generalist,generalist,1,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_gemma3_generalist_00_b3_20260703_075506,gemma3,gemma3_generalist,generalist,3,2,lack of use-cases in which DC is advantageous,lack of use-cases in which DC is advantageous,matched,corrected_from_label,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_gemma3_generalist_00_b4_20260703_075506,gemma3,gemma3_generalist,generalist,4,3,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,corrected_from_label,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_gemma3_generalist_00_b8_20260703_075506,gemma3,gemma3_generalist,generalist,8,4,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,corrected_from_label,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_gemma3_generalist_00_b11_20260703_075506,gemma3,gemma3_generalist,generalist,11,5,high costs of DC solutions,high costs of DC solutions,matched,corrected_from_label,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_gemma3_normative_00_b1_20260703_075506,gemma3,gemma3_normative,normative,1,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_gemma3_normative_00_b4_20260703_075506,gemma3,gemma3_normative,normative,4,2,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,corrected_from_label,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_gemma3_normative_00_b8_20260703_075506,gemma3,gemma3_normative,normative,8,3,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,corrected_from_label,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_gemma3_normative_00_b10_20260703_075506,gemma3,gemma3_normative,normative,10,4,uncertain regulatory roadmap,uncertain regulatory roadmap,matched,corrected_from_label,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_gemma3_normative_00_b11_20260703_075506,gemma3,gemma3_normative,normative,11,5,high costs of DC solutions,high costs of DC solutions,matched,corrected_from_label,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_gemma3_subject-matter_00_b1_20260703_075506,gemma3,gemma3_subject-matter,subject-matter,1,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_gemma3_subject-matter_00_b4_20260703_075506,gemma3,gemma3_subject-matter,subject-matter,4,2,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,corrected_from_label,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_gemma3_subject-matter_00_b8_20260703_075506,gemma3,gemma3_subject-matter,subject-matter,8,3,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,corrected_from_label,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_gemma3_subject-matter_00_b9_20260703_075506,gemma3,gemma3_subject-matter,subject-matter,9,4,lack of enough trained personnel in DC systems,lack of enough trained personnel in DC systems,matched,corrected_from_label,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_gemma3_subject-matter_00_b10_20260703_075506,gemma3,gemma3_subject-matter,subject-matter,10,5,uncertain regulatory roadmap,uncertain regulatory roadmap,matched,corrected_from_label,False,1.0,0,20260703_075506,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_generalist_01_b1_20260703_080130,phi4,phi4_generalist,generalist,1,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_generalist_01_b4_20260703_080130,phi4,phi4_generalist,generalist,4,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_generalist_01_b5_20260703_080130,phi4,phi4_generalist,generalist,5,5,lack of pilot projects,lack of pilot projects,matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_generalist_01_b8_20260703_080130,phi4,phi4_generalist,generalist,8,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_generalist_01_b10_20260703_080130,phi4,phi4_generalist,generalist,10,10,uncertain regulatory roadmap,uncertain regulatory roadmap,matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_normative_01_b1_20260703_080130,phi4,phi4_normative,normative,1,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_normative_01_b4_20260703_080130,phi4,phi4_normative,normative,4,2,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,corrected_from_label,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_normative_01_b5_20260703_080130,phi4,phi4_normative,normative,5,4,lack of pilot projects,lack of pilot projects,matched,corrected_from_label,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_normative_01_b6_20260703_080130,phi4,phi4_normative,normative,6,6,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_normative_01_b10_20260703_080130,phi4,phi4_normative,normative,10,10,uncertain regulatory roadmap,uncertain regulatory roadmap,matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_subject-matter_01_b1_20260703_080130,phi4,phi4_subject-matter,subject-matter,1,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_subject-matter_01_b3_20260703_080130,phi4,phi4_subject-matter,subject-matter,3,2,lack of use-cases in which DC is advantageous,lack of use-cases in which DC is advantageous,matched,corrected_from_label,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_subject-matter_01_b4_20260703_080130,phi4,phi4_subject-matter,subject-matter,4,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_subject-matter_01_b8_20260703_080130,phi4,phi4_subject-matter,subject-matter,8,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_phi4_subject-matter_01_b10_20260703_080130,phi4,phi4_subject-matter,subject-matter,10,10,uncertain regulatory roadmap,uncertain regulatory roadmap,matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_generalist_01_b1_20260703_080130,llama,llama_generalist,generalist,1,1,"power losses, quality and safety issues","power losses, quality and safety issues",matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_generalist_01_b2_20260703_080130,llama,llama_generalist,generalist,2,2,reduced reliability in DC devices,reduced reliability in DC devices,matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_generalist_01_b3_20260703_080130,llama,llama_generalist,generalist,3,3,lack of use-cases in which DC is advantageous,lack of use-cases in which DC is advantageous,matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_generalist_01_b4_20260703_080130,llama,llama_generalist,generalist,4,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_generalist_01_b5_20260703_080130,llama,llama_generalist,generalist,5,5,lack of pilot projects,lack of pilot projects,matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_normative_01_b1_20260703_080130,llama,llama_normative,normative,1,5,"power losses, quality and safety issues","power losses, quality and safety issues",matched,corrected_from_label,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_normative_01_b6_20260703_080130,llama,llama_normative,normative,6,6,public perception of DC and readiness to 'champion' installations from DC projects,public perception of DC and readiness to 'champion' installations from DC projects,matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_normative_01_b7_20260703_080130,llama,llama_normative,normative,7,7,incompatibility of DC systems components,incompatibility of DC systems components,matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_normative_01_b8_20260703_080130,llama,llama_normative,normative,8,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,misconception and lack of knowledge leads to lengthy/expensive design and permit process,matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_normative_01_b9_20260703_080130,llama,llama_normative,normative,9,9,lack of enough trained personnel in DC systems,lack of enough trained personnel in DC systems,matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_subject-matter_01_b1_20260703_080130,llama,llama_subject-matter,subject-matter,1,1,"power losses, quality and safety issues","Power losses, quality, and safety issues",matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_subject-matter_01_b4_20260703_080130,llama,llama_subject-matter,subject-matter,4,2,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","Uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,corrected_from_label,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_subject-matter_01_b3_20260703_080130,llama,llama_subject-matter,subject-matter,3,3,lack of use-cases in which DC is advantageous,Lack of use-cases in which DC is advantageous,matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_subject-matter_01_b7_20260703_080130,llama,llama_subject-matter,subject-matter,7,4,incompatibility of DC systems components,Incompatibility of DC systems components,matched,corrected_from_label,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_llama_subject-matter_01_b8_20260703_080130,llama,llama_subject-matter,subject-matter,8,5,misconception and lack of knowledge leads to lengthy/expensive design and permit process,Misconceptions and lack of knowledge leading to lengthy/expensive design and permit processes,matched_by_fuzzy_prefix,corrected_from_fuzzy_prefix,False,0.955,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_mistral_generalist_01_b1_20260703_080130,mistral,mistral_generalist,generalist,1,1,"power losses, quality and safety issues","Power losses, quality, and safety issues: This barrier is crucial because ensuring safe and efficient power distribution is essential for any energy system. Addressing power losses, maintaining quality, and adhering to safety standards will be important for widespread adoption of DC solutions.",matched_by_fuzzy_prefix,correct_id_fuzzy_prefix,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_mistral_generalist_01_b2_20260703_080130,mistral,mistral_generalist,generalist,2,2,reduced reliability in DC devices,Reduced reliability in DC devices: Reliability is a significant concern in any energy system. Ensuring that DC devices are reliable and can withstand various operating conditions will help build confidence in DC technologies and encourage their use.,matched_by_fuzzy_prefix,correct_id_fuzzy_prefix,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_mistral_generalist_01_b3_20260703_080130,mistral,mistral_generalist,generalist,3,3,lack of use-cases in which DC is advantageous,Lack of use-cases in which DC is advantageous: Identifying applications where DC technology provides clear benefits over AC will be essential for promoting its adoption. This information can help demonstrate the value proposition of DC systems and convince potential users to invest in them.,matched_by_fuzzy_prefix,correct_id_fuzzy_prefix,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_mistral_generalist_01_b4_20260703_080130,mistral,mistral_generalist,generalist,4,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","Uncertain utility interaction (net metering, utility ownership, and agreed standards): Establishing clear guidelines for how DC systems will interact with utilities is essential for their successful integration into the grid. This includes addressing issues such as net metering, utility ownership, and agreed standards to ensure a smooth transition.",matched_by_fuzzy_prefix,correct_id_fuzzy_prefix,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_mistral_generalist_01_b5_20260703_080130,mistral,mistral_generalist,generalist,5,5,lack of pilot projects,"Lack of pilot projects: Pilot projects are important for demonstrating the feasibility and practicality of new technologies. By conducting pilot projects, we can gain valuable insights into how DC systems perform under real-world conditions and address any issues that may arise during their implementation.",matched_by_fuzzy_prefix,correct_id_fuzzy_prefix,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_mistral_normative_01_b1_20260703_080130,mistral,mistral_normative,normative,1,1,"power losses, quality and safety issues","Power losses, quality, and safety issues",matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_mistral_normative_01_b2_20260703_080130,mistral,mistral_normative,normative,2,2,reduced reliability in DC devices,Reduced reliability in DC devices,matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_mistral_normative_01_b3_20260703_080130,mistral,mistral_normative,normative,3,3,lack of use-cases in which DC is advantageous,Lack of use-cases in which DC is advantageous,matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
ANCHOR_WORD_mistral_normative_01_b4_20260703_080130,mistral,mistral_normative,normative,4,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)","Uncertain utility interaction (net metering, utility ownership, and agreed standards)",matched,correct_id,False,1.0,1,20260703_080130,no,ANCHORED,ANCHOR_WORD,
