row_id,base_model,variant_id,model,dc_solution,rating,label,iteration,timestamp,condition,bias_type,anchor_level,source
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_subject_matter2_00_20250815_022140,llama,llama_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,0,20250815_022140,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_subject_matter_00_20250815_022140,llama,llama_subject_matter,subject_matter,Smart and sustainable DC cables,3,Important,0,20250815_022140,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_generalist2_00_20250815_022140,mistral,mistral_generalist2,generalist2,Smart and sustainable DC cables,3,Important,0,20250815_022140,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_generalist_00_20250815_022140,mistral,mistral_generalist,generalist,Smart and sustainable DC cables,3,Important,0,20250815_022140,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_normative2_00_20250815_022140,mistral,mistral_normative2,normative2,Smart and sustainable DC cables,3,Important,0,20250815_022140,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_normative_00_20250815_022140,mistral,mistral_normative,normative,Smart and sustainable DC cables,3,Important,0,20250815_022140,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_subject_matter2_00_20250815_022140,mistral,mistral_subject_matter2,subject_matter2,Smart and sustainable DC cables,3,Important,0,20250815_022140,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_subject_matter_00_20250815_022140,mistral,mistral_subject_matter,subject_matter,Smart and sustainable DC cables,3,Important,0,20250815_022140,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_generalist2_00_20250815_022140,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,0,20250815_022140,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_generalist_00_20250815_022140,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,0,20250815_022140,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_normative2_00_20250815_022140,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,0,20250815_022140,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_normative_00_20250815_022140,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,0,20250815_022140,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_subject_matter2_00_20250815_022140,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,0,20250815_022140,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_subject_matter_00_20250815_022140,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,0,20250815_022140,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_generalist2_01_20250815_022731,gemma3,gemma3_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,1,20250815_022731,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_generalist_01_20250815_022731,gemma3,gemma3_generalist,generalist,Smart and sustainable DC cables,4,Very important,1,20250815_022731,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_normative2_01_20250815_022731,gemma3,gemma3_normative2,normative2,Smart and sustainable DC cables,4,Very important,1,20250815_022731,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_normative_01_20250815_022731,gemma3,gemma3_normative,normative,Smart and sustainable DC cables,4,Very important,1,20250815_022731,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_subject_matter2_01_20250815_022731,gemma3,gemma3_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,1,20250815_022731,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_subject_matter_01_20250815_022731,gemma3,gemma3_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,1,20250815_022731,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_generalist2_01_20250815_022731,llama,llama_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,1,20250815_022731,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_generalist_01_20250815_022731,llama,llama_generalist,generalist,Smart and sustainable DC cables,3,Important,1,20250815_022731,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_normative2_01_20250815_022731,llama,llama_normative2,normative2,Smart and sustainable DC cables,3,Important,1,20250815_022731,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_normative_01_20250815_022731,llama,llama_normative,normative,Smart and sustainable DC cables,4,Very important,1,20250815_022731,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_subject_matter2_01_20250815_022731,llama,llama_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,1,20250815_022731,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_subject_matter_01_20250815_022731,llama,llama_subject_matter,subject_matter,Smart and sustainable DC cables,3,Important,1,20250815_022731,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_generalist2_01_20250815_022731,mistral,mistral_generalist2,generalist2,Smart and sustainable DC cables,3,Important,1,20250815_022731,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_generalist_01_20250815_022731,mistral,mistral_generalist,generalist,Smart and sustainable DC cables,3,Important,1,20250815_022731,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_normative2_01_20250815_022731,mistral,mistral_normative2,normative2,Smart and sustainable DC cables,3,Important,1,20250815_022731,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_normative_01_20250815_022731,mistral,mistral_normative,normative,Smart and sustainable DC cables,3,Important,1,20250815_022731,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_subject_matter2_01_20250815_022731,mistral,mistral_subject_matter2,subject_matter2,Smart and sustainable DC cables,3,Important,1,20250815_022731,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_subject_matter_01_20250815_022731,mistral,mistral_subject_matter,subject_matter,Smart and sustainable DC cables,3,Important,1,20250815_022731,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_generalist2_01_20250815_022731,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,1,20250815_022731,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_generalist_01_20250815_022731,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,1,20250815_022731,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_normative2_01_20250815_022731,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,1,20250815_022731,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_normative_01_20250815_022731,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,1,20250815_022731,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_subject_matter2_01_20250815_022731,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,1,20250815_022731,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_subject_matter_01_20250815_022731,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,1,20250815_022731,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_generalist2_02_20250815_023059,gemma3,gemma3_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,2,20250815_023059,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_generalist_02_20250815_023059,gemma3,gemma3_generalist,generalist,Smart and sustainable DC cables,4,Very important,2,20250815_023059,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_normative2_02_20250815_023059,gemma3,gemma3_normative2,normative2,Smart and sustainable DC cables,4,Very important,2,20250815_023059,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_normative_02_20250815_023059,gemma3,gemma3_normative,normative,Smart and sustainable DC cables,4,Very important,2,20250815_023059,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_subject_matter2_02_20250815_023059,gemma3,gemma3_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,2,20250815_023059,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_subject_matter_02_20250815_023059,gemma3,gemma3_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,2,20250815_023059,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_generalist2_02_20250815_023059,llama,llama_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,2,20250815_023059,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_generalist_02_20250815_023059,llama,llama_generalist,generalist,Smart and sustainable DC cables,4,Very important,2,20250815_023059,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_normative2_02_20250815_023059,llama,llama_normative2,normative2,Smart and sustainable DC cables,3,Important,2,20250815_023059,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_normative_02_20250815_023059,llama,llama_normative,normative,Smart and sustainable DC cables,4,Very important,2,20250815_023059,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_subject_matter2_02_20250815_023059,llama,llama_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,2,20250815_023059,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_subject_matter_02_20250815_023059,llama,llama_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,2,20250815_023059,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_generalist2_02_20250815_023059,mistral,mistral_generalist2,generalist2,Smart and sustainable DC cables,3,Important,2,20250815_023059,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_generalist_02_20250815_023059,mistral,mistral_generalist,generalist,Smart and sustainable DC cables,3,Important,2,20250815_023059,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_normative2_02_20250815_023059,mistral,mistral_normative2,normative2,Smart and sustainable DC cables,3,Important,2,20250815_023059,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_normative_02_20250815_023059,mistral,mistral_normative,normative,Smart and sustainable DC cables,3,Important,2,20250815_023059,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_subject_matter2_02_20250815_023059,mistral,mistral_subject_matter2,subject_matter2,Smart and sustainable DC cables,3,Important,2,20250815_023059,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_subject_matter_02_20250815_023059,mistral,mistral_subject_matter,subject_matter,Smart and sustainable DC cables,3,Important,2,20250815_023059,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_generalist2_02_20250815_023059,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,2,20250815_023059,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_generalist_02_20250815_023059,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,2,20250815_023059,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_normative2_02_20250815_023059,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,2,20250815_023059,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_normative_02_20250815_023059,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,2,20250815_023059,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_subject_matter2_02_20250815_023059,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,2,20250815_023059,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_subject_matter_02_20250815_023059,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,2,20250815_023059,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_generalist2_03_20250815_023401,gemma3,gemma3_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,3,20250815_023401,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_generalist_03_20250815_023401,gemma3,gemma3_generalist,generalist,Smart and sustainable DC cables,4,Very important,3,20250815_023401,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_normative2_03_20250815_023401,gemma3,gemma3_normative2,normative2,Smart and sustainable DC cables,4,Very important,3,20250815_023401,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_normative_03_20250815_023401,gemma3,gemma3_normative,normative,Smart and sustainable DC cables,4,Very important,3,20250815_023401,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_subject_matter2_03_20250815_023401,gemma3,gemma3_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,3,20250815_023401,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_subject_matter_03_20250815_023401,gemma3,gemma3_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,3,20250815_023401,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_generalist2_03_20250815_023401,llama,llama_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,3,20250815_023401,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_generalist_03_20250815_023401,llama,llama_generalist,generalist,Smart and sustainable DC cables,3,Important,3,20250815_023401,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_normative2_03_20250815_023401,llama,llama_normative2,normative2,Smart and sustainable DC cables,4,Very important,3,20250815_023401,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_normative_03_20250815_023401,llama,llama_normative,normative,Smart and sustainable DC cables,3,Important,3,20250815_023401,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_subject_matter2_03_20250815_023401,llama,llama_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,3,20250815_023401,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_subject_matter_03_20250815_023401,llama,llama_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,3,20250815_023401,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_generalist2_03_20250815_023401,mistral,mistral_generalist2,generalist2,Smart and sustainable DC cables,3,Important,3,20250815_023401,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_generalist_03_20250815_023401,mistral,mistral_generalist,generalist,Smart and sustainable DC cables,3,Important,3,20250815_023401,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_normative2_03_20250815_023401,mistral,mistral_normative2,normative2,Smart and sustainable DC cables,3,Important,3,20250815_023401,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_normative_03_20250815_023401,mistral,mistral_normative,normative,Smart and sustainable DC cables,3,Important,3,20250815_023401,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_subject_matter2_03_20250815_023401,mistral,mistral_subject_matter2,subject_matter2,Smart and sustainable DC cables,3,Important,3,20250815_023401,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_subject_matter_03_20250815_023401,mistral,mistral_subject_matter,subject_matter,Smart and sustainable DC cables,3,Important,3,20250815_023401,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_generalist2_03_20250815_023401,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,3,20250815_023401,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_generalist_03_20250815_023401,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,3,20250815_023401,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_normative2_03_20250815_023401,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,3,20250815_023401,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_normative_03_20250815_023401,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,3,20250815_023401,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_subject_matter2_03_20250815_023401,phi4,phi4_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,3,20250815_023401,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_subject_matter_03_20250815_023401,phi4,phi4_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,3,20250815_023401,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_generalist2_04_20250815_023804,gemma3,gemma3_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,4,20250815_023804,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_generalist_04_20250815_023804,gemma3,gemma3_generalist,generalist,Smart and sustainable DC cables,4,Very important,4,20250815_023804,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_normative2_04_20250815_023804,gemma3,gemma3_normative2,normative2,Smart and sustainable DC cables,4,Very important,4,20250815_023804,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_normative_04_20250815_023804,gemma3,gemma3_normative,normative,Smart and sustainable DC cables,4,Very important,4,20250815_023804,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_subject_matter2_04_20250815_023804,gemma3,gemma3_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,4,20250815_023804,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_gemma3_subject_matter_04_20250815_023804,gemma3,gemma3_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,4,20250815_023804,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_generalist2_04_20250815_023804,llama,llama_generalist2,generalist2,Smart and sustainable DC cables,3,Important,4,20250815_023804,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_generalist_04_20250815_023804,llama,llama_generalist,generalist,Smart and sustainable DC cables,4,Very important,4,20250815_023804,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_normative2_04_20250815_023804,llama,llama_normative2,normative2,Smart and sustainable DC cables,3,Important,4,20250815_023804,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_normative_04_20250815_023804,llama,llama_normative,normative,Smart and sustainable DC cables,4,Very important,4,20250815_023804,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_subject_matter2_04_20250815_023804,llama,llama_subject_matter2,subject_matter2,Smart and sustainable DC cables,4,Very important,4,20250815_023804,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_llama_subject_matter_04_20250815_023804,llama,llama_subject_matter,subject_matter,Smart and sustainable DC cables,4,Very important,4,20250815_023804,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_generalist2_04_20250815_023804,mistral,mistral_generalist2,generalist2,Smart and sustainable DC cables,3,Important,4,20250815_023804,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_generalist_04_20250815_023804,mistral,mistral_generalist,generalist,Smart and sustainable DC cables,3,Important,4,20250815_023804,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_normative2_04_20250815_023804,mistral,mistral_normative2,normative2,Smart and sustainable DC cables,3,Important,4,20250815_023804,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_normative_04_20250815_023804,mistral,mistral_normative,normative,Smart and sustainable DC cables,3,Important,4,20250815_023804,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_subject_matter2_04_20250815_023804,mistral,mistral_subject_matter2,subject_matter2,Smart and sustainable DC cables,3,Important,4,20250815_023804,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_mistral_subject_matter_04_20250815_023804,mistral,mistral_subject_matter,subject_matter,Smart and sustainable DC cables,3,Important,4,20250815_023804,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_generalist2_04_20250815_023804,phi4,phi4_generalist2,generalist2,Smart and sustainable DC cables,4,Very important,4,20250815_023804,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_generalist_04_20250815_023804,phi4,phi4_generalist,generalist,Smart and sustainable DC cables,4,Very important,4,20250815_023804,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_normative2_04_20250815_023804,phi4,phi4_normative2,normative2,Smart and sustainable DC cables,4,Very important,4,20250815_023804,BIASED,BIAS_NUM_HIGH,high,llm
BIAS_NUM_HIGH_smart_and_sustainable_dc_cables_phi4_normative_04_20250815_023804,phi4,phi4_normative,normative,Smart and sustainable DC cables,4,Very important,4,20250815_023804,BIASED,BIAS_NUM_HIGH,high,llm
