row_id,variant_id,base_model,model,rating,label,condition,anchor_type,anchor_level,iteration
gemma3_generalist_04_20260630_153903,gemma3_generalist,gemma3,generalist,3,Feasible,context,,,4
gemma3_normative_04_20260630_153903,gemma3_normative,gemma3,normative,3,Feasible,context,,,4
gemma3_subject-matter_04_20260630_153903,gemma3_subject-matter,gemma3,subject-matter,3,Feasible,context,,,4
phi4_generalist_04_20260630_153903,phi4_generalist,phi4,generalist,3,Feasible,context,,,4
phi4_normative_04_20260630_153903,phi4_normative,phi4,normative,3,Feasible,context,,,4
phi4_subject-matter_04_20260630_153903,phi4_subject-matter,phi4,subject-matter,3,Feasible,context,,,4
llama_generalist_05_20260630_163031,llama_generalist,llama,generalist,3,Feasible,context,,,5
llama_normative_05_20260630_163031,llama_normative,llama,normative,3,Feasible,context,,,5
llama_subject-matter_05_20260630_163031,llama_subject-matter,llama,subject-matter,3,Feasible,context,,,5
mistral_generalist_05_20260630_163031,mistral_generalist,mistral,generalist,3,Feasible,context,,,5
mistral_normative_05_20260630_163031,mistral_normative,mistral,normative,3,Feasible,context,,,5
mistral_subject-matter_05_20260630_163031,mistral_subject-matter,mistral,subject-matter,3,Feasible,context,,,5
gemma3_generalist_05_20260630_163031,gemma3_generalist,gemma3,generalist,3,Feasible,context,,,5
gemma3_normative_05_20260630_163031,gemma3_normative,gemma3,normative,3,Feasible,context,,,5
gemma3_subject-matter_05_20260630_163031,gemma3_subject-matter,gemma3,subject-matter,3,Feasible,context,,,5
phi4_generalist_05_20260630_163031,phi4_generalist,phi4,generalist,3,Feasible,context,,,5
phi4_normative_05_20260630_163031,phi4_normative,phi4,normative,3,Feasible,context,,,5
phi4_subject-matter_05_20260630_163031,phi4_subject-matter,phi4,subject-matter,3,Feasible,context,,,5
llama_generalist_06_20260630_163318,llama_generalist,llama,generalist,2,Somewhat feasible,context,,,6
llama_normative_06_20260630_163318,llama_normative,llama,normative,3,Feasible,context,,,6
llama_subject-matter_06_20260630_163318,llama_subject-matter,llama,subject-matter,3,Feasible,context,,,6
mistral_generalist_06_20260630_163318,mistral_generalist,mistral,generalist,3,Feasible,context,,,6
mistral_normative_06_20260630_163318,mistral_normative,mistral,normative,3,Feasible,context,,,6
mistral_subject-matter_06_20260630_163318,mistral_subject-matter,mistral,subject-matter,3,Feasible,context,,,6
gemma3_generalist_06_20260630_163318,gemma3_generalist,gemma3,generalist,3,Feasible,context,,,6
gemma3_normative_06_20260630_163318,gemma3_normative,gemma3,normative,3,Feasible,context,,,6
gemma3_subject-matter_06_20260630_163318,gemma3_subject-matter,gemma3,subject-matter,3,Feasible,context,,,6
phi4_generalist_06_20260630_163318,phi4_generalist,phi4,generalist,3,Feasible,context,,,6
phi4_normative_06_20260630_163318,phi4_normative,phi4,normative,3,Feasible,context,,,6
phi4_subject-matter_06_20260630_163318,phi4_subject-matter,phi4,subject-matter,3,Feasible,context,,,6
llama_generalist_07_20260630_163533,llama_generalist,llama,generalist,4,Very feasible,context,,,7
llama_normative_07_20260630_163533,llama_normative,llama,normative,3,Feasible,context,,,7
llama_subject-matter_07_20260630_163533,llama_subject-matter,llama,subject-matter,3,Feasible,context,,,7
mistral_generalist_07_20260630_163533,mistral_generalist,mistral,generalist,3,Feasible,context,,,7
mistral_normative_07_20260630_163533,mistral_normative,mistral,normative,3,Feasible,context,,,7
mistral_subject-matter_07_20260630_163533,mistral_subject-matter,mistral,subject-matter,3,Feasible,context,,,7
gemma3_generalist_07_20260630_163533,gemma3_generalist,gemma3,generalist,3,Feasible,context,,,7
gemma3_normative_07_20260630_163533,gemma3_normative,gemma3,normative,3,Feasible,context,,,7
gemma3_subject-matter_07_20260630_163533,gemma3_subject-matter,gemma3,subject-matter,3,Feasible,context,,,7
phi4_generalist_07_20260630_163533,phi4_generalist,phi4,generalist,3,Feasible,context,,,7
phi4_normative_07_20260630_163533,phi4_normative,phi4,normative,3,Feasible,context,,,7
phi4_subject-matter_07_20260630_163533,phi4_subject-matter,phi4,subject-matter,3,Feasible,context,,,7
llama_generalist_08_20260630_163744,llama_generalist,llama,generalist,4,Very feasible,context,,,8
llama_normative_08_20260630_163744,llama_normative,llama,normative,3,Feasible,context,,,8
llama_subject-matter_08_20260630_163744,llama_subject-matter,llama,subject-matter,4,Very feasible,context,,,8
mistral_generalist_08_20260630_163744,mistral_generalist,mistral,generalist,3,Feasible,context,,,8
mistral_normative_08_20260630_163744,mistral_normative,mistral,normative,3,Feasible,context,,,8
mistral_subject-matter_08_20260630_163744,mistral_subject-matter,mistral,subject-matter,3,Feasible,context,,,8
gemma3_generalist_08_20260630_163744,gemma3_generalist,gemma3,generalist,3,Feasible,context,,,8
gemma3_normative_08_20260630_163744,gemma3_normative,gemma3,normative,3,Feasible,context,,,8
gemma3_subject-matter_08_20260630_163744,gemma3_subject-matter,gemma3,subject-matter,3,Feasible,context,,,8
phi4_generalist_08_20260630_163744,phi4_generalist,phi4,generalist,3,Feasible,context,,,8
phi4_normative_08_20260630_163744,phi4_normative,phi4,normative,3,Feasible,context,,,8
phi4_subject-matter_08_20260630_163744,phi4_subject-matter,phi4,subject-matter,3,Feasible,context,,,8
llama_generalist_09_20260630_163937,llama_generalist,llama,generalist,3,Feasible,context,,,9
llama_normative_09_20260630_163937,llama_normative,llama,normative,3,Feasible,context,,,9
llama_subject-matter_09_20260630_163937,llama_subject-matter,llama,subject-matter,3,Feasible,context,,,9
mistral_generalist_09_20260630_163937,mistral_generalist,mistral,generalist,3,Feasible,context,,,9
mistral_normative_09_20260630_163937,mistral_normative,mistral,normative,3,Feasible,context,,,9
mistral_subject-matter_09_20260630_163937,mistral_subject-matter,mistral,subject-matter,3,Feasible,context,,,9
gemma3_generalist_09_20260630_163937,gemma3_generalist,gemma3,generalist,3,Feasible,context,,,9
gemma3_normative_09_20260630_163937,gemma3_normative,gemma3,normative,3,Feasible,context,,,9
gemma3_subject-matter_09_20260630_163937,gemma3_subject-matter,gemma3,subject-matter,3,Feasible,context,,,9
phi4_generalist_09_20260630_163937,phi4_generalist,phi4,generalist,3,Feasible,context,,,9
phi4_normative_09_20260630_163937,phi4_normative,phi4,normative,3,Feasible,context,,,9
phi4_subject-matter_09_20260630_163937,phi4_subject-matter,phi4,subject-matter,3,Feasible,context,,,9
llama_generalist_10_20260630_164134,llama_generalist,llama,generalist,2,Somewhat feasible,context,,,10
llama_normative_10_20260630_164134,llama_normative,llama,normative,3,Feasible,context,,,10
llama_subject-matter_10_20260630_164134,llama_subject-matter,llama,subject-matter,3,Feasible,context,,,10
mistral_generalist_10_20260630_164134,mistral_generalist,mistral,generalist,3,Feasible,context,,,10
mistral_normative_10_20260630_164134,mistral_normative,mistral,normative,3,Feasible,context,,,10
mistral_subject-matter_10_20260630_164134,mistral_subject-matter,mistral,subject-matter,3,Feasible,context,,,10
gemma3_generalist_10_20260630_164134,gemma3_generalist,gemma3,generalist,3,Feasible,context,,,10
gemma3_normative_10_20260630_164134,gemma3_normative,gemma3,normative,3,Feasible,context,,,10
gemma3_subject-matter_10_20260630_164134,gemma3_subject-matter,gemma3,subject-matter,3,Feasible,context,,,10
phi4_generalist_10_20260630_164134,phi4_generalist,phi4,generalist,3,Feasible,context,,,10
phi4_normative_10_20260630_164134,phi4_normative,phi4,normative,3,Feasible,context,,,10
phi4_subject-matter_10_20260630_164134,phi4_subject-matter,phi4,subject-matter,3,Feasible,context,,,10
llama_generalist_11_20260630_164320,llama_generalist,llama,generalist,3,Feasible,context,,,11
llama_normative_11_20260630_164320,llama_normative,llama,normative,3,Feasible,context,,,11
llama_subject-matter_11_20260630_164320,llama_subject-matter,llama,subject-matter,3,Feasible,context,,,11
mistral_generalist_11_20260630_164320,mistral_generalist,mistral,generalist,3,Feasible,context,,,11
mistral_normative_11_20260630_164320,mistral_normative,mistral,normative,3,Feasible,context,,,11
mistral_subject-matter_11_20260630_164320,mistral_subject-matter,mistral,subject-matter,3,Feasible,context,,,11
gemma3_generalist_11_20260630_164320,gemma3_generalist,gemma3,generalist,3,Feasible,context,,,11
gemma3_normative_11_20260630_164320,gemma3_normative,gemma3,normative,3,Feasible,context,,,11
gemma3_subject-matter_11_20260630_164320,gemma3_subject-matter,gemma3,subject-matter,3,Feasible,context,,,11
phi4_generalist_11_20260630_164320,phi4_generalist,phi4,generalist,3,Feasible,context,,,11
phi4_normative_11_20260630_164320,phi4_normative,phi4,normative,3,Feasible,context,,,11
phi4_subject-matter_11_20260630_164320,phi4_subject-matter,phi4,subject-matter,3,Feasible,context,,,11
llama_generalist_12_20260630_164502,llama_generalist,llama,generalist,4,Very feasible,context,,,12
llama_normative_12_20260630_164502,llama_normative,llama,normative,3,Feasible,context,,,12
llama_subject-matter_12_20260630_164502,llama_subject-matter,llama,subject-matter,3,Feasible,context,,,12
mistral_generalist_12_20260630_164502,mistral_generalist,mistral,generalist,3,Feasible,context,,,12
mistral_normative_12_20260630_164502,mistral_normative,mistral,normative,3,Feasible,context,,,12
mistral_subject-matter_12_20260630_164502,mistral_subject-matter,mistral,subject-matter,3,Feasible,context,,,12
gemma3_generalist_12_20260630_164502,gemma3_generalist,gemma3,generalist,3,Feasible,context,,,12
gemma3_normative_12_20260630_164502,gemma3_normative,gemma3,normative,3,Feasible,context,,,12
gemma3_subject-matter_12_20260630_164502,gemma3_subject-matter,gemma3,subject-matter,3,Feasible,context,,,12
phi4_generalist_12_20260630_164502,phi4_generalist,phi4,generalist,3,Feasible,context,,,12
phi4_normative_12_20260630_164502,phi4_normative,phi4,normative,3,Feasible,context,,,12
phi4_subject-matter_12_20260630_164502,phi4_subject-matter,phi4,subject-matter,3,Feasible,context,,,12
llama_generalist_13_20260630_164717,llama_generalist,llama,generalist,4,Very feasible,context,,,13
llama_normative_13_20260630_164717,llama_normative,llama,normative,3,Feasible,context,,,13
llama_subject-matter_13_20260630_164717,llama_subject-matter,llama,subject-matter,4,Very feasible,context,,,13
mistral_generalist_13_20260630_164717,mistral_generalist,mistral,generalist,3,Feasible,context,,,13
mistral_normative_13_20260630_164717,mistral_normative,mistral,normative,3,Feasible,context,,,13
mistral_subject-matter_13_20260630_164717,mistral_subject-matter,mistral,subject-matter,3,Feasible,context,,,13
gemma3_generalist_13_20260630_164717,gemma3_generalist,gemma3,generalist,3,Feasible,context,,,13
gemma3_normative_13_20260630_164717,gemma3_normative,gemma3,normative,3,Feasible,context,,,13
gemma3_subject-matter_13_20260630_164717,gemma3_subject-matter,gemma3,subject-matter,3,Feasible,context,,,13
phi4_generalist_13_20260630_164717,phi4_generalist,phi4,generalist,3,Feasible,context,,,13
phi4_normative_13_20260630_164717,phi4_normative,phi4,normative,3,Feasible,context,,,13
phi4_subject-matter_13_20260630_164717,phi4_subject-matter,phi4,subject-matter,3,Feasible,context,,,13
llama_generalist_14_20260630_164903,llama_generalist,llama,generalist,3,Feasible,context,,,14
llama_normative_14_20260630_164903,llama_normative,llama,normative,3,Feasible,context,,,14
llama_subject-matter_14_20260630_164903,llama_subject-matter,llama,subject-matter,3,Feasible,context,,,14
mistral_generalist_14_20260630_164903,mistral_generalist,mistral,generalist,3,Feasible,context,,,14
mistral_normative_14_20260630_164903,mistral_normative,mistral,normative,3,Feasible,context,,,14
mistral_subject-matter_14_20260630_164903,mistral_subject-matter,mistral,subject-matter,3,Feasible,context,,,14
gemma3_generalist_14_20260630_164903,gemma3_generalist,gemma3,generalist,3,Feasible,context,,,14
gemma3_normative_14_20260630_164903,gemma3_normative,gemma3,normative,3,Feasible,context,,,14
gemma3_subject-matter_14_20260630_164903,gemma3_subject-matter,gemma3,subject-matter,3,Feasible,context,,,14
phi4_generalist_14_20260630_164903,phi4_generalist,phi4,generalist,3,Feasible,context,,,14
phi4_normative_14_20260630_164903,phi4_normative,phi4,normative,3,Feasible,context,,,14
phi4_subject-matter_14_20260630_164903,phi4_subject-matter,phi4,subject-matter,3,Feasible,context,,,14
llama_generalist_15_20260630_165050,llama_generalist,llama,generalist,3,Feasible,context,,,15
llama_normative_15_20260630_165050,llama_normative,llama,normative,3,Feasible,context,,,15
llama_subject-matter_15_20260630_165050,llama_subject-matter,llama,subject-matter,4,Very feasible,context,,,15
mistral_generalist_15_20260630_165050,mistral_generalist,mistral,generalist,3,Feasible,context,,,15
mistral_normative_15_20260630_165050,mistral_normative,mistral,normative,3,Feasible,context,,,15
mistral_subject-matter_15_20260630_165050,mistral_subject-matter,mistral,subject-matter,3,Feasible,context,,,15
gemma3_generalist_15_20260630_165050,gemma3_generalist,gemma3,generalist,3,Feasible,context,,,15
gemma3_normative_15_20260630_165050,gemma3_normative,gemma3,normative,3,Feasible,context,,,15
gemma3_subject-matter_15_20260630_165050,gemma3_subject-matter,gemma3,subject-matter,3,Feasible,context,,,15
phi4_generalist_15_20260630_165050,phi4_generalist,phi4,generalist,3,Feasible,context,,,15
phi4_normative_15_20260630_165050,phi4_normative,phi4,normative,3,Feasible,context,,,15
phi4_subject-matter_15_20260630_165050,phi4_subject-matter,phi4,subject-matter,3,Feasible,context,,,15
llama_generalist_16_20260630_165241,llama_generalist,llama,generalist,3,Feasible,context,,,16
llama_normative_16_20260630_165241,llama_normative,llama,normative,4,Very feasible,context,,,16
llama_subject-matter_16_20260630_165241,llama_subject-matter,llama,subject-matter,3,Feasible,context,,,16
mistral_generalist_16_20260630_165241,mistral_generalist,mistral,generalist,3,Feasible,context,,,16
mistral_normative_16_20260630_165241,mistral_normative,mistral,normative,3,Feasible,context,,,16
mistral_subject-matter_16_20260630_165241,mistral_subject-matter,mistral,subject-matter,3,Feasible,context,,,16
gemma3_generalist_16_20260630_165241,gemma3_generalist,gemma3,generalist,3,Feasible,context,,,16
gemma3_normative_16_20260630_165241,gemma3_normative,gemma3,normative,3,Feasible,context,,,16
gemma3_subject-matter_16_20260630_165241,gemma3_subject-matter,gemma3,subject-matter,3,Feasible,context,,,16
phi4_generalist_16_20260630_165241,phi4_generalist,phi4,generalist,3,Feasible,context,,,16
phi4_normative_16_20260630_165241,phi4_normative,phi4,normative,3,Feasible,context,,,16
phi4_subject-matter_16_20260630_165241,phi4_subject-matter,phi4,subject-matter,3,Feasible,context,,,16
llama_generalist_17_20260630_165429,llama_generalist,llama,generalist,3,Feasible,context,,,17
llama_normative_17_20260630_165429,llama_normative,llama,normative,3,Feasible,context,,,17
llama_subject-matter_17_20260630_165429,llama_subject-matter,llama,subject-matter,2,Somewhat feasible,context,,,17
mistral_generalist_17_20260630_165429,mistral_generalist,mistral,generalist,3,Feasible,context,,,17
mistral_normative_17_20260630_165429,mistral_normative,mistral,normative,3,Feasible,context,,,17
mistral_subject-matter_17_20260630_165429,mistral_subject-matter,mistral,subject-matter,3,Feasible,context,,,17
gemma3_generalist_17_20260630_165429,gemma3_generalist,gemma3,generalist,3,Feasible,context,,,17
gemma3_normative_17_20260630_165429,gemma3_normative,gemma3,normative,3,Feasible,context,,,17
gemma3_subject-matter_17_20260630_165429,gemma3_subject-matter,gemma3,subject-matter,3,Feasible,context,,,17
phi4_generalist_17_20260630_165429,phi4_generalist,phi4,generalist,3,Feasible,context,,,17
phi4_normative_17_20260630_165429,phi4_normative,phi4,normative,3,Feasible,context,,,17
phi4_subject-matter_17_20260630_165429,phi4_subject-matter,phi4,subject-matter,3,Feasible,context,,,17
llama_generalist_18_20260630_165656,llama_generalist,llama,generalist,3,Feasible,context,,,18
llama_normative_18_20260630_165656,llama_normative,llama,normative,2,Somewhat feasible,context,,,18
llama_subject-matter_18_20260630_165656,llama_subject-matter,llama,subject-matter,3,Feasible,context,,,18
mistral_generalist_18_20260630_165656,mistral_generalist,mistral,generalist,3,Feasible,context,,,18
mistral_normative_18_20260630_165656,mistral_normative,mistral,normative,3,Feasible,context,,,18
mistral_subject-matter_18_20260630_165656,mistral_subject-matter,mistral,subject-matter,3,Feasible,context,,,18
gemma3_generalist_18_20260630_165656,gemma3_generalist,gemma3,generalist,3,Feasible,context,,,18
gemma3_normative_18_20260630_165656,gemma3_normative,gemma3,normative,3,Feasible,context,,,18
gemma3_subject-matter_18_20260630_165656,gemma3_subject-matter,gemma3,subject-matter,3,Feasible,context,,,18
phi4_generalist_18_20260630_165656,phi4_generalist,phi4,generalist,3,Feasible,context,,,18
phi4_normative_18_20260630_165656,phi4_normative,phi4,normative,3,Feasible,context,,,18
phi4_subject-matter_18_20260630_165656,phi4_subject-matter,phi4,subject-matter,3,Feasible,context,,,18
llama_generalist_19_20260630_165914,llama_generalist,llama,generalist,3,Feasible,context,,,19
llama_normative_19_20260630_165914,llama_normative,llama,normative,4,Very feasible,context,,,19
llama_subject-matter_19_20260630_165914,llama_subject-matter,llama,subject-matter,3,Feasible,context,,,19
mistral_generalist_19_20260630_165914,mistral_generalist,mistral,generalist,3,Feasible,context,,,19
mistral_normative_19_20260630_165914,mistral_normative,mistral,normative,3,Feasible,context,,,19
mistral_subject-matter_19_20260630_165914,mistral_subject-matter,mistral,subject-matter,3,Feasible,context,,,19
gemma3_generalist_19_20260630_165914,gemma3_generalist,gemma3,generalist,3,Feasible,context,,,19
gemma3_normative_19_20260630_165914,gemma3_normative,gemma3,normative,3,Feasible,context,,,19
gemma3_subject-matter_19_20260630_165914,gemma3_subject-matter,gemma3,subject-matter,3,Feasible,context,,,19
phi4_generalist_19_20260630_165914,phi4_generalist,phi4,generalist,3,Feasible,context,,,19
phi4_normative_19_20260630_165914,phi4_normative,phi4,normative,3,Feasible,context,,,19
phi4_subject-matter_19_20260630_165914,phi4_subject-matter,phi4,subject-matter,3,Feasible,context,,,19
llama_generalist_20_20260630_170058,llama_generalist,llama,generalist,3,Feasible,context,,,20
llama_normative_20_20260630_170058,llama_normative,llama,normative,3,Feasible,context,,,20
llama_subject-matter_20_20260630_170058,llama_subject-matter,llama,subject-matter,4,Very feasible,context,,,20
mistral_generalist_20_20260630_170058,mistral_generalist,mistral,generalist,3,Feasible,context,,,20
mistral_normative_20_20260630_170058,mistral_normative,mistral,normative,3,Feasible,context,,,20
mistral_subject-matter_20_20260630_170058,mistral_subject-matter,mistral,subject-matter,3,Feasible,context,,,20
gemma3_generalist_20_20260630_170058,gemma3_generalist,gemma3,generalist,3,Feasible,context,,,20
gemma3_normative_20_20260630_170058,gemma3_normative,gemma3,normative,3,Feasible,context,,,20
gemma3_subject-matter_20_20260630_170058,gemma3_subject-matter,gemma3,subject-matter,3,Feasible,context,,,20
phi4_generalist_20_20260630_170058,phi4_generalist,phi4,generalist,3,Feasible,context,,,20
phi4_normative_20_20260630_170058,phi4_normative,phi4,normative,3,Feasible,context,,,20
phi4_subject-matter_20_20260630_170058,phi4_subject-matter,phi4,subject-matter,3,Feasible,context,,,20
llama_generalist_21_20260630_170312,llama_generalist,llama,generalist,3,Feasible,context,,,21
llama_normative_21_20260630_170312,llama_normative,llama,normative,4,Very feasible,context,,,21
llama_subject-matter_21_20260630_170312,llama_subject-matter,llama,subject-matter,3,Feasible,context,,,21
mistral_generalist_21_20260630_170312,mistral_generalist,mistral,generalist,3,Feasible,context,,,21
mistral_normative_21_20260630_170312,mistral_normative,mistral,normative,3,Feasible,context,,,21
mistral_subject-matter_21_20260630_170312,mistral_subject-matter,mistral,subject-matter,3,Feasible,context,,,21
gemma3_generalist_21_20260630_170312,gemma3_generalist,gemma3,generalist,3,Feasible,context,,,21
gemma3_normative_21_20260630_170312,gemma3_normative,gemma3,normative,3,Feasible,context,,,21
gemma3_subject-matter_21_20260630_170312,gemma3_subject-matter,gemma3,subject-matter,3,Feasible,context,,,21
phi4_generalist_21_20260630_170312,phi4_generalist,phi4,generalist,3,Feasible,context,,,21
phi4_normative_21_20260630_170312,phi4_normative,phi4,normative,3,Feasible,context,,,21
phi4_subject-matter_21_20260630_170312,phi4_subject-matter,phi4,subject-matter,3,Feasible,context,,,21
llama_generalist_22_20260630_170455,llama_generalist,llama,generalist,3,Feasible,context,,,22
llama_normative_22_20260630_170455,llama_normative,llama,normative,3,Feasible,context,,,22
llama_subject-matter_22_20260630_170455,llama_subject-matter,llama,subject-matter,1,Not feasible,context,,,22
mistral_generalist_22_20260630_170455,mistral_generalist,mistral,generalist,3,Feasible,context,,,22
mistral_normative_22_20260630_170455,mistral_normative,mistral,normative,3,Feasible,context,,,22
mistral_subject-matter_22_20260630_170455,mistral_subject-matter,mistral,subject-matter,3,Feasible,context,,,22
gemma3_generalist_22_20260630_170455,gemma3_generalist,gemma3,generalist,3,Feasible,context,,,22
gemma3_normative_22_20260630_170455,gemma3_normative,gemma3,normative,3,Feasible,context,,,22
gemma3_subject-matter_22_20260630_170455,gemma3_subject-matter,gemma3,subject-matter,3,Feasible,context,,,22
phi4_generalist_22_20260630_170455,phi4_generalist,phi4,generalist,3,Feasible,context,,,22
phi4_normative_22_20260630_170455,phi4_normative,phi4,normative,3,Feasible,context,,,22
phi4_subject-matter_22_20260630_170455,phi4_subject-matter,phi4,subject-matter,3,Feasible,context,,,22
llama_generalist_23_20260630_170643,llama_generalist,llama,generalist,3,Feasible,context,,,23
llama_normative_23_20260630_170643,llama_normative,llama,normative,4,Very feasible,context,,,23
llama_subject-matter_23_20260630_170643,llama_subject-matter,llama,subject-matter,3,Feasible,context,,,23
mistral_generalist_23_20260630_170643,mistral_generalist,mistral,generalist,3,Feasible,context,,,23
mistral_normative_23_20260630_170643,mistral_normative,mistral,normative,3,Feasible,context,,,23
mistral_subject-matter_23_20260630_170643,mistral_subject-matter,mistral,subject-matter,3,Feasible,context,,,23
gemma3_generalist_23_20260630_170643,gemma3_generalist,gemma3,generalist,3,Feasible,context,,,23
gemma3_normative_23_20260630_170643,gemma3_normative,gemma3,normative,3,Feasible,context,,,23
gemma3_subject-matter_23_20260630_170643,gemma3_subject-matter,gemma3,subject-matter,3,Feasible,context,,,23
phi4_generalist_23_20260630_170643,phi4_generalist,phi4,generalist,3,Feasible,context,,,23
phi4_normative_23_20260630_170643,phi4_normative,phi4,normative,3,Feasible,context,,,23
phi4_subject-matter_23_20260630_170643,phi4_subject-matter,phi4,subject-matter,3,Feasible,context,,,23
llama_generalist_24_20260630_170843,llama_generalist,llama,generalist,3,Feasible,context,,,24
llama_normative_24_20260630_170843,llama_normative,llama,normative,3,Feasible,context,,,24
llama_subject-matter_24_20260630_170843,llama_subject-matter,llama,subject-matter,3,Feasible,context,,,24
mistral_generalist_24_20260630_170843,mistral_generalist,mistral,generalist,3,Feasible,context,,,24
mistral_normative_24_20260630_170843,mistral_normative,mistral,normative,3,Feasible,context,,,24
mistral_subject-matter_24_20260630_170843,mistral_subject-matter,mistral,subject-matter,3,Feasible,context,,,24
gemma3_generalist_24_20260630_170843,gemma3_generalist,gemma3,generalist,3,Feasible,context,,,24
