pair_id,n_zeroshot,n_context,complete_pair
llama_subject-matter.8,1,1,TRUE
mistral_generalist.8,1,1,TRUE
mistral_normative.8,1,1,TRUE
mistral_subject-matter.8,1,1,TRUE
phi4_generalist.8,1,1,TRUE
phi4_normative.8,1,1,TRUE
phi4_subject-matter.8,1,1,TRUE
gemma3_generalist.9,1,1,TRUE
gemma3_normative.9,1,1,TRUE
gemma3_subject-matter.9,1,1,TRUE
llama_generalist.9,1,1,TRUE
llama_normative.9,1,1,TRUE
llama_subject-matter.9,1,1,TRUE
mistral_generalist.9,1,1,TRUE
mistral_normative.9,1,1,TRUE
mistral_subject-matter.9,1,1,TRUE
phi4_generalist.9,1,1,TRUE
phi4_normative.9,1,1,TRUE
phi4_subject-matter.9,1,1,TRUE
gemma3_generalist.10,1,1,TRUE
gemma3_normative.10,1,1,TRUE
gemma3_subject-matter.10,1,1,TRUE
llama_generalist.10,1,1,TRUE
llama_normative.10,1,1,TRUE
llama_subject-matter.10,1,1,TRUE
mistral_generalist.10,1,1,TRUE
mistral_normative.10,1,1,TRUE
mistral_subject-matter.10,1,1,TRUE
phi4_generalist.10,1,1,TRUE
phi4_normative.10,1,1,TRUE
phi4_subject-matter.10,1,1,TRUE
gemma3_generalist.11,1,1,TRUE
gemma3_normative.11,1,1,TRUE
gemma3_subject-matter.11,1,1,TRUE
llama_generalist.11,1,1,TRUE
llama_normative.11,1,1,TRUE
llama_subject-matter.11,1,1,TRUE
mistral_generalist.11,1,1,TRUE
mistral_normative.11,1,1,TRUE
mistral_subject-matter.11,1,1,TRUE
phi4_generalist.11,1,1,TRUE
phi4_normative.11,1,1,TRUE
phi4_subject-matter.11,1,1,TRUE
gemma3_generalist.12,1,1,TRUE
gemma3_normative.12,1,1,TRUE
gemma3_subject-matter.12,1,1,TRUE
llama_generalist.12,1,1,TRUE
llama_normative.12,1,1,TRUE
llama_subject-matter.12,1,1,TRUE
mistral_generalist.12,1,1,TRUE
mistral_normative.12,1,1,TRUE
mistral_subject-matter.12,1,1,TRUE
phi4_generalist.12,1,1,TRUE
phi4_normative.12,1,1,TRUE
phi4_subject-matter.12,1,1,TRUE
gemma3_generalist.13,1,1,TRUE
gemma3_normative.13,1,1,TRUE
gemma3_subject-matter.13,1,1,TRUE
llama_generalist.13,1,1,TRUE
llama_normative.13,1,1,TRUE
llama_subject-matter.13,1,1,TRUE
mistral_generalist.13,1,1,TRUE
mistral_normative.13,1,1,TRUE
mistral_subject-matter.13,1,1,TRUE
phi4_generalist.13,1,1,TRUE
phi4_normative.13,1,1,TRUE
phi4_subject-matter.13,1,1,TRUE
gemma3_generalist.14,1,1,TRUE
gemma3_normative.14,1,1,TRUE
gemma3_subject-matter.14,1,1,TRUE
llama_generalist.14,1,1,TRUE
llama_normative.14,1,1,TRUE
llama_subject-matter.14,1,1,TRUE
mistral_generalist.14,1,1,TRUE
mistral_normative.14,1,1,TRUE
mistral_subject-matter.14,1,1,TRUE
phi4_generalist.14,1,1,TRUE
phi4_normative.14,1,1,TRUE
phi4_subject-matter.14,1,1,TRUE
gemma3_generalist.15,1,1,TRUE
gemma3_normative.15,1,1,TRUE
gemma3_subject-matter.15,1,1,TRUE
llama_generalist.15,1,1,TRUE
llama_normative.15,1,1,TRUE
llama_subject-matter.15,1,1,TRUE
mistral_generalist.15,1,1,TRUE
mistral_normative.15,1,1,TRUE
mistral_subject-matter.15,1,1,TRUE
phi4_generalist.15,1,1,TRUE
phi4_normative.15,1,1,TRUE
phi4_subject-matter.15,1,1,TRUE
gemma3_generalist.16,1,1,TRUE
gemma3_normative.16,1,1,TRUE
gemma3_subject-matter.16,1,1,TRUE
llama_generalist.16,1,1,TRUE
llama_normative.16,1,1,TRUE
llama_subject-matter.16,1,1,TRUE
mistral_generalist.16,1,1,TRUE
mistral_normative.16,1,1,TRUE
mistral_subject-matter.16,1,1,TRUE
phi4_generalist.16,1,1,TRUE
phi4_normative.16,1,1,TRUE
phi4_subject-matter.16,1,1,TRUE
gemma3_generalist.17,1,1,TRUE
gemma3_normative.17,1,1,TRUE
gemma3_subject-matter.17,1,1,TRUE
llama_generalist.17,1,1,TRUE
llama_normative.17,1,1,TRUE
llama_subject-matter.17,1,1,TRUE
mistral_generalist.17,1,1,TRUE
mistral_normative.17,1,1,TRUE
mistral_subject-matter.17,1,1,TRUE
phi4_generalist.17,1,1,TRUE
phi4_normative.17,1,1,TRUE
phi4_subject-matter.17,1,1,TRUE
gemma3_generalist.18,1,1,TRUE
gemma3_normative.18,1,1,TRUE
gemma3_subject-matter.18,1,1,TRUE
llama_generalist.18,1,1,TRUE
llama_normative.18,1,1,TRUE
llama_subject-matter.18,1,1,TRUE
mistral_generalist.18,1,1,TRUE
mistral_normative.18,1,1,TRUE
mistral_subject-matter.18,1,1,TRUE
phi4_generalist.18,1,1,TRUE
phi4_normative.18,1,1,TRUE
phi4_subject-matter.18,1,1,TRUE
gemma3_generalist.19,1,1,TRUE
gemma3_normative.19,1,1,TRUE
gemma3_subject-matter.19,1,1,TRUE
llama_generalist.19,1,1,TRUE
llama_normative.19,1,1,TRUE
llama_subject-matter.19,1,1,TRUE
mistral_generalist.19,1,1,TRUE
mistral_normative.19,1,1,TRUE
mistral_subject-matter.19,1,1,TRUE
phi4_generalist.19,1,1,TRUE
phi4_normative.19,1,1,TRUE
phi4_subject-matter.19,1,1,TRUE
gemma3_generalist.20,1,1,TRUE
gemma3_normative.20,1,1,TRUE
gemma3_subject-matter.20,1,1,TRUE
llama_generalist.20,1,1,TRUE
llama_normative.20,1,1,TRUE
llama_subject-matter.20,1,1,TRUE
mistral_generalist.20,1,1,TRUE
mistral_normative.20,1,1,TRUE
mistral_subject-matter.20,1,1,TRUE
phi4_generalist.20,1,1,TRUE
phi4_normative.20,1,1,TRUE
phi4_subject-matter.20,1,1,TRUE
gemma3_generalist.21,1,1,TRUE
gemma3_normative.21,1,1,TRUE
gemma3_subject-matter.21,1,1,TRUE
llama_generalist.21,1,1,TRUE
llama_normative.21,1,1,TRUE
llama_subject-matter.21,1,1,TRUE
mistral_generalist.21,1,1,TRUE
mistral_normative.21,1,1,TRUE
mistral_subject-matter.21,1,1,TRUE
phi4_generalist.21,1,1,TRUE
phi4_normative.21,1,1,TRUE
phi4_subject-matter.21,1,1,TRUE
gemma3_generalist.22,1,1,TRUE
gemma3_normative.22,1,1,TRUE
gemma3_subject-matter.22,1,1,TRUE
llama_generalist.22,1,1,TRUE
llama_normative.22,1,1,TRUE
llama_subject-matter.22,1,1,TRUE
mistral_generalist.22,1,1,TRUE
mistral_normative.22,1,1,TRUE
mistral_subject-matter.22,1,1,TRUE
phi4_generalist.22,1,1,TRUE
phi4_normative.22,1,1,TRUE
phi4_subject-matter.22,1,1,TRUE
gemma3_generalist.23,1,1,TRUE
gemma3_normative.23,1,1,TRUE
gemma3_subject-matter.23,1,1,TRUE
llama_generalist.23,1,1,TRUE
llama_normative.23,1,1,TRUE
llama_subject-matter.23,1,1,TRUE
mistral_generalist.23,1,1,TRUE
mistral_normative.23,1,1,TRUE
mistral_subject-matter.23,1,1,TRUE
phi4_generalist.23,1,1,TRUE
phi4_normative.23,1,1,TRUE
phi4_subject-matter.23,1,1,TRUE
gemma3_generalist.24,1,1,TRUE
gemma3_normative.24,1,1,TRUE
gemma3_subject-matter.24,1,1,TRUE
llama_generalist.24,1,1,TRUE
llama_normative.24,1,1,TRUE
llama_subject-matter.24,1,1,TRUE
mistral_generalist.24,1,1,TRUE
mistral_normative.24,1,1,TRUE
mistral_subject-matter.24,1,1,TRUE
phi4_generalist.24,1,1,TRUE
phi4_normative.24,1,1,TRUE
phi4_subject-matter.24,1,1,TRUE
gemma3_generalist.25,1,1,TRUE
gemma3_normative.25,1,1,TRUE
gemma3_subject-matter.25,1,1,TRUE
llama_generalist.25,1,1,TRUE
llama_normative.25,1,1,TRUE
llama_subject-matter.25,1,1,TRUE
mistral_generalist.25,1,1,TRUE
mistral_normative.25,1,1,TRUE
mistral_subject-matter.25,1,1,TRUE
phi4_generalist.25,1,1,TRUE
phi4_normative.25,1,1,TRUE
phi4_subject-matter.25,1,1,TRUE
gemma3_generalist.26,1,1,TRUE
gemma3_normative.26,1,1,TRUE
gemma3_subject-matter.26,1,1,TRUE
llama_generalist.26,1,1,TRUE
llama_normative.26,1,1,TRUE
llama_subject-matter.26,1,1,TRUE
mistral_generalist.26,1,1,TRUE
mistral_normative.26,1,1,TRUE
mistral_subject-matter.26,1,1,TRUE
phi4_generalist.26,1,1,TRUE
phi4_normative.26,1,1,TRUE
phi4_subject-matter.26,1,1,TRUE
gemma3_generalist.27,1,1,TRUE
gemma3_normative.27,1,1,TRUE
gemma3_subject-matter.27,1,1,TRUE
llama_generalist.27,1,1,TRUE
llama_normative.27,1,1,TRUE
llama_subject-matter.27,1,1,TRUE
mistral_generalist.27,1,1,TRUE
mistral_normative.27,1,1,TRUE
mistral_subject-matter.27,1,1,TRUE
phi4_generalist.27,1,1,TRUE
phi4_normative.27,1,1,TRUE
phi4_subject-matter.27,1,1,TRUE
gemma3_generalist.28,1,1,TRUE
gemma3_normative.28,1,1,TRUE
gemma3_subject-matter.28,1,1,TRUE
llama_generalist.28,1,1,TRUE
llama_normative.28,1,1,TRUE
llama_subject-matter.28,1,1,TRUE
mistral_generalist.28,1,1,TRUE
mistral_normative.28,1,1,TRUE
mistral_subject-matter.28,1,1,TRUE
phi4_generalist.28,1,1,TRUE
phi4_normative.28,1,1,TRUE
phi4_subject-matter.28,1,1,TRUE
gemma3_generalist.29,1,1,TRUE
gemma3_normative.29,1,1,TRUE
gemma3_subject-matter.29,1,1,TRUE
llama_generalist.29,1,1,TRUE
llama_normative.29,1,1,TRUE
llama_subject-matter.29,1,1,TRUE
mistral_generalist.29,1,1,TRUE
mistral_normative.29,1,1,TRUE
mistral_subject-matter.29,1,1,TRUE
phi4_generalist.29,1,1,TRUE
phi4_normative.29,1,1,TRUE
phi4_subject-matter.29,1,1,TRUE
gemma3_generalist.30,1,1,TRUE
gemma3_normative.30,1,1,TRUE
gemma3_subject-matter.30,1,1,TRUE
llama_generalist.30,1,1,TRUE
llama_normative.30,1,1,TRUE
llama_subject-matter.30,1,1,TRUE
mistral_generalist.30,1,1,TRUE
mistral_normative.30,1,1,TRUE
mistral_subject-matter.30,1,1,TRUE
phi4_generalist.30,1,1,TRUE
phi4_normative.30,1,1,TRUE
phi4_subject-matter.30,1,1,TRUE
gemma3_generalist.31,1,1,TRUE
gemma3_normative.31,1,1,TRUE
gemma3_subject-matter.31,1,1,TRUE
llama_generalist.31,1,1,TRUE
llama_normative.31,1,1,TRUE
llama_subject-matter.31,1,1,TRUE
mistral_generalist.31,1,1,TRUE
mistral_normative.31,1,1,TRUE
mistral_subject-matter.31,1,1,TRUE
phi4_generalist.31,1,1,TRUE
phi4_normative.31,1,1,TRUE
phi4_subject-matter.31,1,1,TRUE
gemma3_generalist.32,1,1,TRUE
gemma3_normative.32,1,1,TRUE
gemma3_subject-matter.32,1,1,TRUE
llama_generalist.32,1,1,TRUE
llama_normative.32,1,1,TRUE
llama_subject-matter.32,1,1,TRUE
mistral_generalist.32,1,1,TRUE
mistral_normative.32,1,1,TRUE
mistral_subject-matter.32,1,1,TRUE
phi4_generalist.32,1,1,TRUE
phi4_normative.32,1,1,TRUE
phi4_subject-matter.32,1,1,TRUE
gemma3_generalist.33,1,1,TRUE
gemma3_normative.33,1,1,TRUE
gemma3_subject-matter.33,1,1,TRUE
llama_generalist.33,1,1,TRUE
llama_normative.33,1,1,TRUE
llama_subject-matter.33,1,1,TRUE
mistral_generalist.33,1,1,TRUE
mistral_normative.33,1,1,TRUE
mistral_subject-matter.33,1,1,TRUE
phi4_generalist.33,1,1,TRUE
phi4_normative.33,1,1,TRUE
phi4_subject-matter.33,1,1,TRUE
gemma3_generalist.34,1,1,TRUE
gemma3_normative.34,1,1,TRUE
gemma3_subject-matter.34,1,1,TRUE
llama_generalist.34,1,1,TRUE
llama_normative.34,1,1,TRUE
llama_subject-matter.34,1,1,TRUE
mistral_generalist.34,1,1,TRUE
mistral_normative.34,1,1,TRUE
mistral_subject-matter.34,1,1,TRUE
phi4_generalist.34,1,1,TRUE
phi4_normative.34,1,1,TRUE
phi4_subject-matter.34,1,1,TRUE
gemma3_generalist.35,1,1,TRUE
gemma3_normative.35,1,1,TRUE
gemma3_subject-matter.35,1,1,TRUE
llama_generalist.35,1,1,TRUE
llama_normative.35,1,1,TRUE
llama_subject-matter.35,1,1,TRUE
mistral_generalist.35,1,1,TRUE
mistral_normative.35,1,1,TRUE
mistral_subject-matter.35,1,1,TRUE
phi4_generalist.35,1,1,TRUE
phi4_normative.35,1,1,TRUE
phi4_subject-matter.35,1,1,TRUE
gemma3_generalist.36,1,1,TRUE
gemma3_normative.36,1,1,TRUE
gemma3_subject-matter.36,1,1,TRUE
llama_generalist.36,1,1,TRUE
llama_normative.36,1,1,TRUE
llama_subject-matter.36,1,1,TRUE
mistral_generalist.36,1,1,TRUE
mistral_normative.36,1,1,TRUE
mistral_subject-matter.36,1,1,TRUE
phi4_generalist.36,1,1,TRUE
phi4_normative.36,1,1,TRUE
phi4_subject-matter.36,1,1,TRUE
gemma3_generalist.37,1,1,TRUE
gemma3_normative.37,1,1,TRUE
gemma3_subject-matter.37,1,1,TRUE
llama_generalist.37,1,1,TRUE
llama_normative.37,1,1,TRUE
llama_subject-matter.37,1,1,TRUE
mistral_generalist.37,1,1,TRUE
mistral_normative.37,1,1,TRUE
mistral_subject-matter.37,1,1,TRUE
phi4_generalist.37,1,1,TRUE
phi4_normative.37,1,1,TRUE
phi4_subject-matter.37,1,1,TRUE
gemma3_generalist.38,1,1,TRUE
gemma3_normative.38,1,1,TRUE
gemma3_subject-matter.38,1,1,TRUE
llama_generalist.38,1,1,TRUE
llama_normative.38,1,1,TRUE
llama_subject-matter.38,1,1,TRUE
mistral_generalist.38,1,1,TRUE
mistral_normative.38,1,1,TRUE
mistral_subject-matter.38,1,1,TRUE
phi4_generalist.38,1,1,TRUE
phi4_normative.38,1,1,TRUE
phi4_subject-matter.38,1,1,TRUE
gemma3_generalist.39,1,1,TRUE
gemma3_normative.39,1,1,TRUE
gemma3_subject-matter.39,1,1,TRUE
llama_generalist.39,1,1,TRUE
llama_normative.39,1,1,TRUE
llama_subject-matter.39,1,1,TRUE
mistral_generalist.39,1,1,TRUE
mistral_normative.39,1,1,TRUE
mistral_subject-matter.39,1,1,TRUE
phi4_generalist.39,1,1,TRUE
phi4_normative.39,1,1,TRUE
phi4_subject-matter.39,1,1,TRUE
gemma3_generalist.40,1,1,TRUE
gemma3_normative.40,1,1,TRUE
gemma3_subject-matter.40,1,1,TRUE
llama_generalist.40,1,1,TRUE
llama_normative.40,1,1,TRUE
llama_subject-matter.40,1,1,TRUE
mistral_generalist.40,1,1,TRUE
mistral_normative.40,1,1,TRUE
mistral_subject-matter.40,1,1,TRUE
phi4_generalist.40,1,1,TRUE
phi4_normative.40,1,1,TRUE
phi4_subject-matter.40,1,1,TRUE
gemma3_generalist.41,1,1,TRUE
gemma3_normative.41,1,1,TRUE
gemma3_subject-matter.41,1,1,TRUE
llama_generalist.41,1,1,TRUE
llama_normative.41,1,1,TRUE
llama_subject-matter.41,1,1,TRUE
mistral_generalist.41,1,1,TRUE
mistral_normative.41,1,1,TRUE
mistral_subject-matter.41,1,1,TRUE
phi4_generalist.41,1,1,TRUE
phi4_normative.41,1,1,TRUE
phi4_subject-matter.41,1,1,TRUE
gemma3_generalist.42,1,1,TRUE
gemma3_normative.42,1,1,TRUE
gemma3_subject-matter.42,1,1,TRUE
llama_generalist.42,1,1,TRUE
llama_normative.42,1,1,TRUE
llama_subject-matter.42,1,1,TRUE
mistral_generalist.42,1,1,TRUE
mistral_normative.42,1,1,TRUE
mistral_subject-matter.42,1,1,TRUE
phi4_generalist.42,1,1,TRUE
phi4_normative.42,1,1,TRUE
phi4_subject-matter.42,1,1,TRUE
gemma3_generalist.43,1,1,TRUE
gemma3_normative.43,1,1,TRUE
gemma3_subject-matter.43,1,1,TRUE
llama_generalist.43,1,1,TRUE
llama_normative.43,1,1,TRUE
llama_subject-matter.43,1,1,TRUE
mistral_generalist.43,1,1,TRUE
mistral_normative.43,1,1,TRUE
mistral_subject-matter.43,1,1,TRUE
phi4_generalist.43,1,1,TRUE
phi4_normative.43,1,1,TRUE
phi4_subject-matter.43,1,1,TRUE
gemma3_generalist.44,1,1,TRUE
gemma3_normative.44,1,1,TRUE
gemma3_subject-matter.44,1,1,TRUE
llama_generalist.44,1,1,TRUE
llama_normative.44,1,1,TRUE
llama_subject-matter.44,1,1,TRUE
mistral_generalist.44,1,1,TRUE
mistral_normative.44,1,1,TRUE
mistral_subject-matter.44,1,1,TRUE
phi4_generalist.44,1,1,TRUE
phi4_normative.44,1,1,TRUE
phi4_subject-matter.44,1,1,TRUE
gemma3_generalist.45,1,1,TRUE
gemma3_normative.45,1,1,TRUE
gemma3_subject-matter.45,1,1,TRUE
llama_generalist.45,1,1,TRUE
llama_normative.45,1,1,TRUE
llama_subject-matter.45,1,1,TRUE
mistral_generalist.45,1,1,TRUE
mistral_normative.45,1,1,TRUE
mistral_subject-matter.45,1,1,TRUE
phi4_generalist.45,1,1,TRUE
phi4_normative.45,1,1,TRUE
phi4_subject-matter.45,1,1,TRUE
gemma3_generalist.46,1,1,TRUE
gemma3_normative.46,1,1,TRUE
gemma3_subject-matter.46,1,1,TRUE
llama_generalist.46,1,1,TRUE
llama_normative.46,1,1,TRUE
llama_subject-matter.46,1,1,TRUE
mistral_generalist.46,1,1,TRUE
mistral_normative.46,1,1,TRUE
mistral_subject-matter.46,1,1,TRUE
phi4_generalist.46,1,1,TRUE
phi4_normative.46,1,1,TRUE
phi4_subject-matter.46,1,1,TRUE
gemma3_generalist.47,1,1,TRUE
gemma3_normative.47,1,1,TRUE
gemma3_subject-matter.47,1,1,TRUE
llama_generalist.47,1,1,TRUE
llama_normative.47,1,1,TRUE
llama_subject-matter.47,1,1,TRUE
mistral_generalist.47,1,1,TRUE
mistral_normative.47,1,1,TRUE
mistral_subject-matter.47,1,1,TRUE
phi4_generalist.47,1,1,TRUE
phi4_normative.47,1,1,TRUE
phi4_subject-matter.47,1,1,TRUE
gemma3_generalist.48,1,1,TRUE
gemma3_normative.48,1,1,TRUE
gemma3_subject-matter.48,1,1,TRUE
llama_generalist.48,1,1,TRUE
llama_normative.48,1,1,TRUE
llama_subject-matter.48,1,1,TRUE
mistral_generalist.48,1,1,TRUE
mistral_normative.48,1,1,TRUE
mistral_subject-matter.48,1,1,TRUE
phi4_generalist.48,1,1,TRUE
phi4_normative.48,1,1,TRUE
phi4_subject-matter.48,1,1,TRUE
gemma3_generalist.49,1,1,TRUE
gemma3_normative.49,1,1,TRUE
gemma3_subject-matter.49,1,1,TRUE
llama_generalist.49,1,1,TRUE
llama_normative.49,1,1,TRUE
llama_subject-matter.49,1,1,TRUE
mistral_generalist.49,1,1,TRUE
mistral_normative.49,1,1,TRUE
mistral_subject-matter.49,1,1,TRUE
phi4_generalist.49,1,1,TRUE
phi4_normative.49,1,1,TRUE
phi4_subject-matter.49,1,1,TRUE
