row_id,variant_id,base_model,model,rating,label,iteration,timestamp
phi4_generalist2_04_20250731_234813,phi4_generalist2,phi4,generalist2,3,Feasible,4,20250731_234813
phi4_normative_04_20250731_234813,phi4_normative,phi4,normative,3,Feasible,4,20250731_234813
phi4_normative2_04_20250731_234813,phi4_normative2,phi4,normative2,3,Feasible,4,20250731_234813
phi4_subject_matter_04_20250731_234813,phi4_subject_matter,phi4,subject_matter,3,Feasible,4,20250731_234813
phi4_subject_matter2_04_20250731_234813,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,4,20250731_234813
phi4_generalist_05_20250731_234901,phi4_generalist,phi4,generalist,3,Feasible,5,20250731_234901
phi4_generalist2_05_20250731_234901,phi4_generalist2,phi4,generalist2,3,Feasible,5,20250731_234901
phi4_normative_05_20250731_234901,phi4_normative,phi4,normative,3,Feasible,5,20250731_234901
phi4_normative2_05_20250731_234901,phi4_normative2,phi4,normative2,3,Feasible,5,20250731_234901
phi4_subject_matter_05_20250731_234901,phi4_subject_matter,phi4,subject_matter,3,Feasible,5,20250731_234901
phi4_subject_matter2_05_20250731_234901,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,5,20250731_234901
phi4_generalist_06_20250731_234945,phi4_generalist,phi4,generalist,3,Feasible,6,20250731_234945
phi4_generalist2_06_20250731_234945,phi4_generalist2,phi4,generalist2,3,Feasible,6,20250731_234945
phi4_normative_06_20250731_234945,phi4_normative,phi4,normative,3,Feasible,6,20250731_234945
phi4_normative2_06_20250731_234945,phi4_normative2,phi4,normative2,3,Feasible,6,20250731_234945
phi4_subject_matter_06_20250731_234945,phi4_subject_matter,phi4,subject_matter,3,Feasible,6,20250731_234945
phi4_subject_matter2_06_20250731_234945,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,6,20250731_234945
phi4_generalist_07_20250731_235024,phi4_generalist,phi4,generalist,3,Feasible,7,20250731_235024
phi4_generalist2_07_20250731_235024,phi4_generalist2,phi4,generalist2,3,Feasible,7,20250731_235024
phi4_normative_07_20250731_235024,phi4_normative,phi4,normative,3,Feasible,7,20250731_235024
phi4_normative2_07_20250731_235024,phi4_normative2,phi4,normative2,3,Feasible,7,20250731_235024
phi4_subject_matter_07_20250731_235024,phi4_subject_matter,phi4,subject_matter,3,Feasible,7,20250731_235024
phi4_subject_matter2_07_20250731_235024,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,7,20250731_235024
phi4_generalist_08_20250731_235138,phi4_generalist,phi4,generalist,3,Feasible,8,20250731_235138
phi4_generalist2_08_20250731_235138,phi4_generalist2,phi4,generalist2,3,Feasible,8,20250731_235138
phi4_normative_08_20250731_235138,phi4_normative,phi4,normative,3,Feasible,8,20250731_235138
phi4_normative2_08_20250731_235138,phi4_normative2,phi4,normative2,3,Feasible,8,20250731_235138
phi4_subject_matter_08_20250731_235138,phi4_subject_matter,phi4,subject_matter,3,Feasible,8,20250731_235138
phi4_subject_matter2_08_20250731_235138,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,8,20250731_235138
phi4_generalist_09_20250731_235223,phi4_generalist,phi4,generalist,3,Feasible,9,20250731_235223
phi4_generalist2_09_20250731_235223,phi4_generalist2,phi4,generalist2,3,Feasible,9,20250731_235223
phi4_normative_09_20250731_235223,phi4_normative,phi4,normative,3,Feasible,9,20250731_235223
phi4_normative2_09_20250731_235223,phi4_normative2,phi4,normative2,3,Feasible,9,20250731_235223
phi4_subject_matter_09_20250731_235223,phi4_subject_matter,phi4,subject_matter,3,Feasible,9,20250731_235223
phi4_subject_matter2_09_20250731_235223,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,9,20250731_235223
phi4_generalist_10_20250731_235313,phi4_generalist,phi4,generalist,3,Feasible,10,20250731_235313
phi4_generalist2_10_20250731_235313,phi4_generalist2,phi4,generalist2,3,Feasible,10,20250731_235313
phi4_normative_10_20250731_235313,phi4_normative,phi4,normative,3,Feasible,10,20250731_235313
phi4_normative2_10_20250731_235313,phi4_normative2,phi4,normative2,3,Feasible,10,20250731_235313
phi4_subject_matter_10_20250731_235313,phi4_subject_matter,phi4,subject_matter,3,Feasible,10,20250731_235313
phi4_subject_matter2_10_20250731_235313,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,10,20250731_235313
phi4_generalist_11_20250731_235401,phi4_generalist,phi4,generalist,3,Feasible,11,20250731_235401
phi4_generalist2_11_20250731_235401,phi4_generalist2,phi4,generalist2,3,Feasible,11,20250731_235401
phi4_normative_11_20250731_235401,phi4_normative,phi4,normative,3,Feasible,11,20250731_235401
phi4_normative2_11_20250731_235401,phi4_normative2,phi4,normative2,3,Feasible,11,20250731_235401
phi4_subject_matter_11_20250731_235401,phi4_subject_matter,phi4,subject_matter,3,Feasible,11,20250731_235401
phi4_subject_matter2_11_20250731_235401,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,11,20250731_235401
phi4_generalist_12_20250731_235506,phi4_generalist,phi4,generalist,3,Feasible,12,20250731_235506
phi4_generalist2_12_20250731_235506,phi4_generalist2,phi4,generalist2,3,Feasible,12,20250731_235506
phi4_normative_12_20250731_235506,phi4_normative,phi4,normative,3,Feasible,12,20250731_235506
phi4_normative2_12_20250731_235506,phi4_normative2,phi4,normative2,3,Feasible,12,20250731_235506
phi4_subject_matter_12_20250731_235506,phi4_subject_matter,phi4,subject_matter,3,Feasible,12,20250731_235506
phi4_subject_matter2_12_20250731_235506,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,12,20250731_235506
phi4_generalist_13_20250731_235603,phi4_generalist,phi4,generalist,3,Feasible,13,20250731_235603
phi4_generalist2_13_20250731_235603,phi4_generalist2,phi4,generalist2,3,Feasible,13,20250731_235603
phi4_normative_13_20250731_235603,phi4_normative,phi4,normative,3,Feasible,13,20250731_235603
phi4_normative2_13_20250731_235603,phi4_normative2,phi4,normative2,3,Feasible,13,20250731_235603
phi4_subject_matter_13_20250731_235603,phi4_subject_matter,phi4,subject_matter,3,Feasible,13,20250731_235603
phi4_subject_matter2_13_20250731_235603,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,13,20250731_235603
phi4_generalist_14_20250801_102522,phi4_generalist,phi4,generalist,3,Feasible,14,20250801_102522
phi4_generalist2_14_20250801_102522,phi4_generalist2,phi4,generalist2,3,Feasible,14,20250801_102522
phi4_normative_14_20250801_102522,phi4_normative,phi4,normative,3,Feasible,14,20250801_102522
phi4_normative2_14_20250801_102522,phi4_normative2,phi4,normative2,3,Feasible,14,20250801_102522
phi4_subject_matter_14_20250801_102522,phi4_subject_matter,phi4,subject_matter,3,Feasible,14,20250801_102522
phi4_subject_matter2_14_20250801_102522,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,14,20250801_102522
phi4_generalist_15_20250801_102641,phi4_generalist,phi4,generalist,3,Feasible,15,20250801_102641
phi4_generalist2_15_20250801_102641,phi4_generalist2,phi4,generalist2,3,Feasible,15,20250801_102641
phi4_normative_15_20250801_102641,phi4_normative,phi4,normative,3,Feasible,15,20250801_102641
phi4_normative2_15_20250801_102641,phi4_normative2,phi4,normative2,3,Feasible,15,20250801_102641
phi4_subject_matter_15_20250801_102641,phi4_subject_matter,phi4,subject_matter,3,Feasible,15,20250801_102641
phi4_subject_matter2_15_20250801_102641,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,15,20250801_102641
phi4_generalist_16_20250801_102729,phi4_generalist,phi4,generalist,3,Feasible,16,20250801_102729
phi4_generalist2_16_20250801_102729,phi4_generalist2,phi4,generalist2,3,Feasible,16,20250801_102729
phi4_normative_16_20250801_102729,phi4_normative,phi4,normative,3,Feasible,16,20250801_102729
phi4_normative2_16_20250801_102729,phi4_normative2,phi4,normative2,3,Feasible,16,20250801_102729
phi4_subject_matter_16_20250801_102729,phi4_subject_matter,phi4,subject_matter,3,Feasible,16,20250801_102729
phi4_subject_matter2_16_20250801_102729,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,16,20250801_102729
phi4_generalist_17_20250801_102847,phi4_generalist,phi4,generalist,3,Feasible,17,20250801_102847
phi4_generalist2_17_20250801_102847,phi4_generalist2,phi4,generalist2,3,Feasible,17,20250801_102847
phi4_normative_17_20250801_102847,phi4_normative,phi4,normative,3,Feasible,17,20250801_102847
phi4_normative2_17_20250801_102847,phi4_normative2,phi4,normative2,3,Feasible,17,20250801_102847
phi4_subject_matter_17_20250801_102847,phi4_subject_matter,phi4,subject_matter,3,Feasible,17,20250801_102847
phi4_subject_matter2_17_20250801_102847,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,17,20250801_102847
phi4_generalist_18_20250801_103130,phi4_generalist,phi4,generalist,3,Feasible,18,20250801_103130
phi4_generalist2_18_20250801_103130,phi4_generalist2,phi4,generalist2,3,Feasible,18,20250801_103130
phi4_normative_18_20250801_103130,phi4_normative,phi4,normative,3,Feasible,18,20250801_103130
phi4_normative2_18_20250801_103130,phi4_normative2,phi4,normative2,3,Feasible,18,20250801_103130
phi4_subject_matter_18_20250801_103130,phi4_subject_matter,phi4,subject_matter,3,Feasible,18,20250801_103130
phi4_subject_matter2_18_20250801_103130,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,18,20250801_103130
phi4_generalist_19_20250801_103229,phi4_generalist,phi4,generalist,3,Feasible,19,20250801_103229
phi4_generalist2_19_20250801_103229,phi4_generalist2,phi4,generalist2,3,Feasible,19,20250801_103229
phi4_normative_19_20250801_103229,phi4_normative,phi4,normative,3,Feasible,19,20250801_103229
phi4_normative2_19_20250801_103229,phi4_normative2,phi4,normative2,3,Feasible,19,20250801_103229
phi4_subject_matter_19_20250801_103229,phi4_subject_matter,phi4,subject_matter,3,Feasible,19,20250801_103229
phi4_subject_matter2_19_20250801_103229,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,19,20250801_103229
phi4_generalist_20_20250801_103424,phi4_generalist,phi4,generalist,3,Feasible,20,20250801_103424
phi4_generalist2_20_20250801_103424,phi4_generalist2,phi4,generalist2,3,Feasible,20,20250801_103424
phi4_normative_20_20250801_103424,phi4_normative,phi4,normative,3,Feasible,20,20250801_103424
phi4_normative2_20_20250801_103424,phi4_normative2,phi4,normative2,3,Feasible,20,20250801_103424
phi4_subject_matter_20_20250801_103424,phi4_subject_matter,phi4,subject_matter,3,Feasible,20,20250801_103424
phi4_subject_matter2_20_20250801_103424,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,20,20250801_103424
phi4_generalist_21_20250801_103731,phi4_generalist,phi4,generalist,3,Feasible,21,20250801_103731
phi4_generalist2_21_20250801_103731,phi4_generalist2,phi4,generalist2,3,Feasible,21,20250801_103731
phi4_normative_21_20250801_103731,phi4_normative,phi4,normative,3,Feasible,21,20250801_103731
phi4_normative2_21_20250801_103731,phi4_normative2,phi4,normative2,3,Feasible,21,20250801_103731
phi4_subject_matter_21_20250801_103731,phi4_subject_matter,phi4,subject_matter,3,Feasible,21,20250801_103731
phi4_subject_matter2_21_20250801_103731,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,21,20250801_103731
phi4_generalist_22_20250801_103942,phi4_generalist,phi4,generalist,3,Feasible,22,20250801_103942
phi4_generalist2_22_20250801_103942,phi4_generalist2,phi4,generalist2,3,Feasible,22,20250801_103942
phi4_normative_22_20250801_103942,phi4_normative,phi4,normative,3,Feasible,22,20250801_103942
phi4_normative2_22_20250801_103942,phi4_normative2,phi4,normative2,3,Feasible,22,20250801_103942
phi4_subject_matter_22_20250801_103942,phi4_subject_matter,phi4,subject_matter,3,Feasible,22,20250801_103942
phi4_subject_matter2_22_20250801_103942,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,22,20250801_103942
phi4_generalist_23_20250801_104210,phi4_generalist,phi4,generalist,3,Feasible,23,20250801_104210
phi4_generalist2_23_20250801_104210,phi4_generalist2,phi4,generalist2,3,Feasible,23,20250801_104210
phi4_normative_23_20250801_104210,phi4_normative,phi4,normative,3,Feasible,23,20250801_104210
phi4_normative2_23_20250801_104210,phi4_normative2,phi4,normative2,3,Feasible,23,20250801_104210
phi4_subject_matter_23_20250801_104210,phi4_subject_matter,phi4,subject_matter,3,Feasible,23,20250801_104210
phi4_subject_matter2_23_20250801_104210,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,23,20250801_104210
phi4_generalist_24_20250801_104338,phi4_generalist,phi4,generalist,3,Feasible,24,20250801_104338
phi4_generalist2_24_20250801_104338,phi4_generalist2,phi4,generalist2,3,Feasible,24,20250801_104338
phi4_normative_24_20250801_104338,phi4_normative,phi4,normative,3,Feasible,24,20250801_104338
phi4_normative2_24_20250801_104338,phi4_normative2,phi4,normative2,3,Feasible,24,20250801_104338
phi4_subject_matter_24_20250801_104338,phi4_subject_matter,phi4,subject_matter,3,Feasible,24,20250801_104338
phi4_subject_matter2_24_20250801_104338,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,24,20250801_104338
phi4_generalist_25_20250801_104453,phi4_generalist,phi4,generalist,3,Feasible,25,20250801_104453
phi4_generalist2_25_20250801_104453,phi4_generalist2,phi4,generalist2,3,Feasible,25,20250801_104453
phi4_normative_25_20250801_104453,phi4_normative,phi4,normative,3,Feasible,25,20250801_104453
phi4_normative2_25_20250801_104453,phi4_normative2,phi4,normative2,3,Feasible,25,20250801_104453
phi4_subject_matter_25_20250801_104453,phi4_subject_matter,phi4,subject_matter,3,Feasible,25,20250801_104453
phi4_subject_matter2_25_20250801_104453,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,25,20250801_104453
phi4_generalist_26_20250801_104638,phi4_generalist,phi4,generalist,3,Feasible,26,20250801_104638
phi4_generalist2_26_20250801_104638,phi4_generalist2,phi4,generalist2,3,Feasible,26,20250801_104638
phi4_normative_26_20250801_104638,phi4_normative,phi4,normative,3,Feasible,26,20250801_104638
phi4_normative2_26_20250801_104638,phi4_normative2,phi4,normative2,3,Feasible,26,20250801_104638
phi4_subject_matter_26_20250801_104638,phi4_subject_matter,phi4,subject_matter,3,Feasible,26,20250801_104638
phi4_subject_matter2_26_20250801_104638,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,26,20250801_104638
phi4_generalist_27_20250801_105022,phi4_generalist,phi4,generalist,3,Feasible,27,20250801_105022
phi4_generalist2_27_20250801_105022,phi4_generalist2,phi4,generalist2,3,Feasible,27,20250801_105022
phi4_normative_27_20250801_105022,phi4_normative,phi4,normative,3,Feasible,27,20250801_105022
phi4_normative2_27_20250801_105022,phi4_normative2,phi4,normative2,3,Feasible,27,20250801_105022
phi4_subject_matter_27_20250801_105022,phi4_subject_matter,phi4,subject_matter,3,Feasible,27,20250801_105022
phi4_subject_matter2_27_20250801_105022,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,27,20250801_105022
phi4_generalist_28_20250801_105251,phi4_generalist,phi4,generalist,3,Feasible,28,20250801_105251
phi4_generalist2_28_20250801_105251,phi4_generalist2,phi4,generalist2,3,Feasible,28,20250801_105251
phi4_normative_28_20250801_105251,phi4_normative,phi4,normative,3,Feasible,28,20250801_105251
phi4_normative2_28_20250801_105251,phi4_normative2,phi4,normative2,3,Feasible,28,20250801_105251
phi4_subject_matter_28_20250801_105251,phi4_subject_matter,phi4,subject_matter,3,Feasible,28,20250801_105251
phi4_subject_matter2_28_20250801_105251,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,28,20250801_105251
phi4_generalist_29_20250801_105406,phi4_generalist,phi4,generalist,3,Feasible,29,20250801_105406
phi4_generalist2_29_20250801_105406,phi4_generalist2,phi4,generalist2,3,Feasible,29,20250801_105406
phi4_normative_29_20250801_105406,phi4_normative,phi4,normative,3,Feasible,29,20250801_105406
phi4_normative2_29_20250801_105406,phi4_normative2,phi4,normative2,3,Feasible,29,20250801_105406
phi4_subject_matter_29_20250801_105406,phi4_subject_matter,phi4,subject_matter,3,Feasible,29,20250801_105406
phi4_subject_matter2_29_20250801_105406,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,29,20250801_105406
phi4_generalist_30_20250801_105556,phi4_generalist,phi4,generalist,3,Feasible,30,20250801_105556
phi4_generalist2_30_20250801_105556,phi4_generalist2,phi4,generalist2,3,Feasible,30,20250801_105556
phi4_normative_30_20250801_105556,phi4_normative,phi4,normative,3,Feasible,30,20250801_105556
phi4_normative2_30_20250801_105556,phi4_normative2,phi4,normative2,3,Feasible,30,20250801_105556
phi4_subject_matter_30_20250801_105556,phi4_subject_matter,phi4,subject_matter,3,Feasible,30,20250801_105556
phi4_subject_matter2_30_20250801_105556,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,30,20250801_105556
phi4_generalist_31_20250801_105743,phi4_generalist,phi4,generalist,3,Feasible,31,20250801_105743
phi4_generalist2_31_20250801_105743,phi4_generalist2,phi4,generalist2,3,Feasible,31,20250801_105743
phi4_normative_31_20250801_105743,phi4_normative,phi4,normative,3,Feasible,31,20250801_105743
phi4_normative2_31_20250801_105743,phi4_normative2,phi4,normative2,3,Feasible,31,20250801_105743
phi4_subject_matter_31_20250801_105743,phi4_subject_matter,phi4,subject_matter,3,Feasible,31,20250801_105743
phi4_subject_matter2_31_20250801_105743,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,31,20250801_105743
phi4_generalist_32_20250801_110246,phi4_generalist,phi4,generalist,3,Feasible,32,20250801_110246
phi4_generalist2_32_20250801_110246,phi4_generalist2,phi4,generalist2,3,Feasible,32,20250801_110246
phi4_normative_32_20250801_110246,phi4_normative,phi4,normative,3,Feasible,32,20250801_110246
phi4_normative2_32_20250801_110246,phi4_normative2,phi4,normative2,3,Feasible,32,20250801_110246
phi4_subject_matter_32_20250801_110246,phi4_subject_matter,phi4,subject_matter,3,Feasible,32,20250801_110246
phi4_subject_matter2_32_20250801_110246,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,32,20250801_110246
phi4_generalist_33_20250801_110334,phi4_generalist,phi4,generalist,3,Feasible,33,20250801_110334
phi4_generalist2_33_20250801_110334,phi4_generalist2,phi4,generalist2,3,Feasible,33,20250801_110334
phi4_normative_33_20250801_110334,phi4_normative,phi4,normative,3,Feasible,33,20250801_110334
phi4_normative2_33_20250801_110334,phi4_normative2,phi4,normative2,3,Feasible,33,20250801_110334
phi4_subject_matter_33_20250801_110334,phi4_subject_matter,phi4,subject_matter,3,Feasible,33,20250801_110334
phi4_subject_matter2_33_20250801_110334,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,33,20250801_110334
phi4_generalist_34_20250801_113146,phi4_generalist,phi4,generalist,3,Feasible,34,20250801_113146
phi4_generalist2_34_20250801_113146,phi4_generalist2,phi4,generalist2,3,Feasible,34,20250801_113146
phi4_normative_34_20250801_113146,phi4_normative,phi4,normative,3,Feasible,34,20250801_113146
phi4_normative2_34_20250801_113146,phi4_normative2,phi4,normative2,3,Feasible,34,20250801_113146
phi4_subject_matter_34_20250801_113146,phi4_subject_matter,phi4,subject_matter,3,Feasible,34,20250801_113146
phi4_subject_matter2_34_20250801_113146,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,34,20250801_113146
phi4_generalist_35_20250801_113313,phi4_generalist,phi4,generalist,3,Feasible,35,20250801_113313
phi4_generalist2_35_20250801_113313,phi4_generalist2,phi4,generalist2,3,Feasible,35,20250801_113313
phi4_normative_35_20250801_113313,phi4_normative,phi4,normative,3,Feasible,35,20250801_113313
phi4_normative2_35_20250801_113313,phi4_normative2,phi4,normative2,3,Feasible,35,20250801_113313
phi4_subject_matter_35_20250801_113313,phi4_subject_matter,phi4,subject_matter,3,Feasible,35,20250801_113313
phi4_subject_matter2_35_20250801_113313,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,35,20250801_113313
phi4_generalist_36_20250801_113950,phi4_generalist,phi4,generalist,3,Feasible,36,20250801_113950
phi4_generalist2_36_20250801_113950,phi4_generalist2,phi4,generalist2,3,Feasible,36,20250801_113950
phi4_normative_36_20250801_113950,phi4_normative,phi4,normative,3,Feasible,36,20250801_113950
phi4_normative2_36_20250801_113950,phi4_normative2,phi4,normative2,3,Feasible,36,20250801_113950
phi4_subject_matter_36_20250801_113950,phi4_subject_matter,phi4,subject_matter,3,Feasible,36,20250801_113950
phi4_subject_matter2_36_20250801_113950,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,36,20250801_113950
phi4_generalist_37_20250801_114057,phi4_generalist,phi4,generalist,3,Feasible,37,20250801_114057
phi4_generalist2_37_20250801_114057,phi4_generalist2,phi4,generalist2,3,Feasible,37,20250801_114057
phi4_normative_37_20250801_114057,phi4_normative,phi4,normative,3,Feasible,37,20250801_114057
phi4_normative2_37_20250801_114057,phi4_normative2,phi4,normative2,3,Feasible,37,20250801_114057
phi4_subject_matter_37_20250801_114057,phi4_subject_matter,phi4,subject_matter,3,Feasible,37,20250801_114057
phi4_subject_matter2_37_20250801_114057,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,37,20250801_114057
phi4_generalist_38_20250801_114313,phi4_generalist,phi4,generalist,3,Feasible,38,20250801_114313
phi4_generalist2_38_20250801_114313,phi4_generalist2,phi4,generalist2,3,Feasible,38,20250801_114313
phi4_normative_38_20250801_114313,phi4_normative,phi4,normative,3,Feasible,38,20250801_114313
phi4_normative2_38_20250801_114313,phi4_normative2,phi4,normative2,3,Feasible,38,20250801_114313
phi4_subject_matter_38_20250801_114313,phi4_subject_matter,phi4,subject_matter,3,Feasible,38,20250801_114313
phi4_subject_matter2_38_20250801_114313,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,38,20250801_114313
phi4_generalist_39_20250801_115219,phi4_generalist,phi4,generalist,3,Feasible,39,20250801_115219
phi4_generalist2_39_20250801_115219,phi4_generalist2,phi4,generalist2,3,Feasible,39,20250801_115219
phi4_normative_39_20250801_115219,phi4_normative,phi4,normative,3,Feasible,39,20250801_115219
phi4_normative2_39_20250801_115219,phi4_normative2,phi4,normative2,3,Feasible,39,20250801_115219
phi4_subject_matter_39_20250801_115219,phi4_subject_matter,phi4,subject_matter,3,Feasible,39,20250801_115219
phi4_subject_matter2_39_20250801_115219,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,39,20250801_115219
phi4_generalist_40_20250801_115345,phi4_generalist,phi4,generalist,3,Feasible,40,20250801_115345
phi4_generalist2_40_20250801_115345,phi4_generalist2,phi4,generalist2,3,Feasible,40,20250801_115345
phi4_normative_40_20250801_115345,phi4_normative,phi4,normative,3,Feasible,40,20250801_115345
phi4_normative2_40_20250801_115345,phi4_normative2,phi4,normative2,3,Feasible,40,20250801_115345
phi4_subject_matter_40_20250801_115345,phi4_subject_matter,phi4,subject_matter,3,Feasible,40,20250801_115345
phi4_subject_matter2_40_20250801_115345,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,40,20250801_115345
phi4_generalist_41_20250801_115444,phi4_generalist,phi4,generalist,3,Feasible,41,20250801_115444
phi4_generalist2_41_20250801_115444,phi4_generalist2,phi4,generalist2,3,Feasible,41,20250801_115444
phi4_normative_41_20250801_115444,phi4_normative,phi4,normative,3,Feasible,41,20250801_115444
phi4_normative2_41_20250801_115444,phi4_normative2,phi4,normative2,3,Feasible,41,20250801_115444
phi4_subject_matter_41_20250801_115444,phi4_subject_matter,phi4,subject_matter,3,Feasible,41,20250801_115444
phi4_subject_matter2_41_20250801_115444,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,41,20250801_115444
phi4_generalist_42_20250801_115531,phi4_generalist,phi4,generalist,3,Feasible,42,20250801_115531
phi4_generalist2_42_20250801_115531,phi4_generalist2,phi4,generalist2,3,Feasible,42,20250801_115531
phi4_normative_42_20250801_115531,phi4_normative,phi4,normative,3,Feasible,42,20250801_115531
phi4_normative2_42_20250801_115531,phi4_normative2,phi4,normative2,3,Feasible,42,20250801_115531
phi4_subject_matter_42_20250801_115531,phi4_subject_matter,phi4,subject_matter,3,Feasible,42,20250801_115531
phi4_subject_matter2_42_20250801_115531,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,42,20250801_115531
phi4_generalist_43_20250801_120002,phi4_generalist,phi4,generalist,3,Feasible,43,20250801_120002
phi4_generalist2_43_20250801_120002,phi4_generalist2,phi4,generalist2,3,Feasible,43,20250801_120002
phi4_normative_43_20250801_120002,phi4_normative,phi4,normative,3,Feasible,43,20250801_120002
phi4_normative2_43_20250801_120002,phi4_normative2,phi4,normative2,3,Feasible,43,20250801_120002
phi4_subject_matter_43_20250801_120002,phi4_subject_matter,phi4,subject_matter,3,Feasible,43,20250801_120002
phi4_subject_matter2_43_20250801_120002,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,43,20250801_120002
phi4_generalist_44_20250801_120829,phi4_generalist,phi4,generalist,3,Feasible,44,20250801_120829
phi4_generalist2_44_20250801_120829,phi4_generalist2,phi4,generalist2,3,Feasible,44,20250801_120829
phi4_normative_44_20250801_120829,phi4_normative,phi4,normative,3,Feasible,44,20250801_120829
phi4_normative2_44_20250801_120829,phi4_normative2,phi4,normative2,3,Feasible,44,20250801_120829
phi4_subject_matter_44_20250801_120829,phi4_subject_matter,phi4,subject_matter,3,Feasible,44,20250801_120829
phi4_subject_matter2_44_20250801_120829,phi4_subject_matter2,phi4,subject_matter2,3,Feasible,44,20250801_120829
