row_id,variant_id,base_model,source,model,dc_solution,rating,label,iteration,condition
he06_measurementDevice,he06,human,human,s1,DC measurement device,4,very important,,zeroshot
he06_converter,he06,human,human,s1,DC-DC converter,4,very important,,zeroshot
he06_interlink,he06,human,human,s1,LVAC-LVDC interlink converter,4,very important,,zeroshot
he06_solutionDesign,he06,human,human,s1,DC solution design tool,4,very important,,zeroshot
he07_connectors,he07,human,human,s1,DC connectors,4,very important,,zeroshot
he07_cables,he07,human,human,s1,Smart and sustainable DC cables,4,very important,,zeroshot
he07_staticProtection,he07,human,human,s1,Static protection system,4,very important,,zeroshot
he07_circuitBreaker,he07,human,human,s1,Semiconductor-based circuit breaker,4,very important,,zeroshot
he07_protectionDesign,he07,human,human,s1,Protection DC system design tool,4,very important,,zeroshot
he07_measurementDevice,he07,human,human,s1,DC measurement device,3,important,,zeroshot
he07_converter,he07,human,human,s1,DC-DC converter,4,very important,,zeroshot
he07_interlink,he07,human,human,s1,LVAC-LVDC interlink converter,4,very important,,zeroshot
he07_solutionDesign,he07,human,human,s1,DC solution design tool,4,very important,,zeroshot
he08_connectors,he08,human,human,s1,DC connectors,4,very important,,zeroshot
he08_cables,he08,human,human,s1,Smart and sustainable DC cables,4,very important,,zeroshot
he08_staticProtection,he08,human,human,s1,Static protection system,4,very important,,zeroshot
he08_circuitBreaker,he08,human,human,s1,Semiconductor-based circuit breaker,4,very important,,zeroshot
he08_protectionDesign,he08,human,human,s1,Protection DC system design tool,4,very important,,zeroshot
he08_converter,he08,human,human,s1,DC-DC converter,4,very important,,zeroshot
he08_interlink,he08,human,human,s1,LVAC-LVDC interlink converter,3,important,,zeroshot
he08_solutionDesign,he08,human,human,s1,DC solution design tool,4,very important,,zeroshot
he09_connectors,he09,human,human,s1,DC connectors,4,very important,,zeroshot
he09_cables,he09,human,human,s1,Smart and sustainable DC cables,4,very important,,zeroshot
he09_staticProtection,he09,human,human,s1,Static protection system,4,very important,,zeroshot
he09_circuitBreaker,he09,human,human,s1,Semiconductor-based circuit breaker,4,very important,,zeroshot
he09_protectionDesign,he09,human,human,s1,Protection DC system design tool,4,very important,,zeroshot
he09_measurementDevice,he09,human,human,s1,DC measurement device,3,important,,zeroshot
he09_converter,he09,human,human,s1,DC-DC converter,4,very important,,zeroshot
he09_interlink,he09,human,human,s1,LVAC-LVDC interlink converter,4,very important,,zeroshot
he09_solutionDesign,he09,human,human,s1,DC solution design tool,4,very important,,zeroshot
he10_connectors,he10,human,human,s1,DC connectors,3,important,,zeroshot
he10_cables,he10,human,human,s1,Smart and sustainable DC cables,3,important,,zeroshot
he10_staticProtection,he10,human,human,s1,Static protection system,4,very important,,zeroshot
he10_circuitBreaker,he10,human,human,s1,Semiconductor-based circuit breaker,4,very important,,zeroshot
he10_protectionDesign,he10,human,human,s1,Protection DC system design tool,4,very important,,zeroshot
he10_measurementDevice,he10,human,human,s1,DC measurement device,3,important,,zeroshot
he10_converter,he10,human,human,s1,DC-DC converter,3,important,,zeroshot
he10_interlink,he10,human,human,s1,LVAC-LVDC interlink converter,3,important,,zeroshot
he10_solutionDesign,he10,human,human,s1,DC solution design tool,3,important,,zeroshot
he11_connectors,he11,human,human,s1,DC connectors,4,very important,,zeroshot
he11_cables,he11,human,human,s1,Smart and sustainable DC cables,3,important,,zeroshot
he11_staticProtection,he11,human,human,s1,Static protection system,4,very important,,zeroshot
he11_circuitBreaker,he11,human,human,s1,Semiconductor-based circuit breaker,4,very important,,zeroshot
he11_protectionDesign,he11,human,human,s1,Protection DC system design tool,3,important,,zeroshot
he11_measurementDevice,he11,human,human,s1,DC measurement device,3,important,,zeroshot
he11_converter,he11,human,human,s1,DC-DC converter,4,very important,,zeroshot
he11_interlink,he11,human,human,s1,LVAC-LVDC interlink converter,4,very important,,zeroshot
he11_solutionDesign,he11,human,human,s1,DC solution design tool,3,important,,zeroshot
he12_connectors,he12,human,human,s1,DC connectors,4,very important,,zeroshot
he12_cables,he12,human,human,s1,Smart and sustainable DC cables,4,very important,,zeroshot
he12_staticProtection,he12,human,human,s1,Static protection system,3,important,,zeroshot
he12_circuitBreaker,he12,human,human,s1,Semiconductor-based circuit breaker,4,very important,,zeroshot
he12_protectionDesign,he12,human,human,s1,Protection DC system design tool,3,important,,zeroshot
he12_measurementDevice,he12,human,human,s1,DC measurement device,4,very important,,zeroshot
he12_converter,he12,human,human,s1,DC-DC converter,4,very important,,zeroshot
he12_interlink,he12,human,human,s1,LVAC-LVDC interlink converter,4,very important,,zeroshot
he12_solutionDesign,he12,human,human,s1,DC solution design tool,3,important,,zeroshot
he13_cables,he13,human,human,s2,Smart and sustainable DC cables,1,not important,,zeroshot
he13_connectors,he13,human,human,s2,DC connectors,2,somewhat important,,zeroshot
he13_solidState,he13,human,human,s2,Solid-state circuit breaker,4,very important,,zeroshot
he13_interlink,he13,human,human,s2,LVAC-LVDC interlink converter,2,somewhat important,,zeroshot
he13_networkDesign,he13,human,human,s2,Network design tool for DC solutions,4,very important,,zeroshot
he14_cables,he14,human,human,s2,Smart and sustainable DC cables,3,important,,zeroshot
he14_connectors,he14,human,human,s2,DC connectors,1,not important,,zeroshot
he14_solidState,he14,human,human,s2,Solid-state circuit breaker,1,not important,,zeroshot
he14_interlink,he14,human,human,s2,LVAC-LVDC interlink converter,2,somewhat important,,zeroshot
he14_networkDesign,he14,human,human,s2,Network design tool for DC solutions,3,important,,zeroshot
he15_cables,he15,human,human,s2,Smart and sustainable DC cables,3,important,,zeroshot
he15_connectors,he15,human,human,s2,DC connectors,4,very important,,zeroshot
he15_solidState,he15,human,human,s2,Solid-state circuit breaker,4,very important,,zeroshot
he15_interlink,he15,human,human,s2,LVAC-LVDC interlink converter,4,very important,,zeroshot
he15_networkDesign,he15,human,human,s2,Network design tool for DC solutions,4,very important,,zeroshot
he16_cables,he16,human,human,s2,Smart and sustainable DC cables,4,very important,,zeroshot
he16_connectors,he16,human,human,s2,DC connectors,4,very important,,zeroshot
he16_solidState,he16,human,human,s2,Solid-state circuit breaker,4,very important,,zeroshot
he16_interlink,he16,human,human,s2,LVAC-LVDC interlink converter,4,very important,,zeroshot
he16_networkDesign,he16,human,human,s2,Network design tool for DC solutions,4,very important,,zeroshot
he17_cables,he17,human,human,s2,Smart and sustainable DC cables,3,important,,zeroshot
he17_connectors,he17,human,human,s2,DC connectors,4,very important,,zeroshot
he17_solidState,he17,human,human,s2,Solid-state circuit breaker,3,important,,zeroshot
he17_interlink,he17,human,human,s2,LVAC-LVDC interlink converter,4,very important,,zeroshot
he17_networkDesign,he17,human,human,s2,Network design tool for DC solutions,4,very important,,zeroshot
he18_cables,he18,human,human,s2,Smart and sustainable DC cables,3,important,,zeroshot
he18_connectors,he18,human,human,s2,DC connectors,3,important,,zeroshot
he18_solidState,he18,human,human,s2,Solid-state circuit breaker,4,very important,,zeroshot
he18_interlink,he18,human,human,s2,LVAC-LVDC interlink converter,4,very important,,zeroshot
he18_networkDesign,he18,human,human,s2,Network design tool for DC solutions,4,very important,,zeroshot
he19_cables,he19,human,human,s2,Smart and sustainable DC cables,4,very important,,zeroshot
he19_connectors,he19,human,human,s2,DC connectors,3,important,,zeroshot
he19_solidState,he19,human,human,s2,Solid-state circuit breaker,4,very important,,zeroshot
he19_interlink,he19,human,human,s2,LVAC-LVDC interlink converter,4,very important,,zeroshot
he19_networkDesign,he19,human,human,s2,Network design tool for DC solutions,4,very important,,zeroshot
he20_cables,he20,human,human,s2,Smart and sustainable DC cables,3,important,,zeroshot
he20_connectors,he20,human,human,s2,DC connectors,4,very important,,zeroshot
he20_solidState,he20,human,human,s2,Solid-state circuit breaker,4,very important,,zeroshot
he20_interlink,he20,human,human,s2,LVAC-LVDC interlink converter,4,very important,,zeroshot
he20_networkDesign,he20,human,human,s2,Network design tool for DC solutions,4,very important,,zeroshot
he21_cables,he21,human,human,s2,Smart and sustainable DC cables,4,very important,,zeroshot
he21_connectors,he21,human,human,s2,DC connectors,4,very important,,zeroshot
he21_solidState,he21,human,human,s2,Solid-state circuit breaker,4,very important,,zeroshot
he21_interlink,he21,human,human,s2,LVAC-LVDC interlink converter,4,very important,,zeroshot
he21_networkDesign,he21,human,human,s2,Network design tool for DC solutions,3,important,,zeroshot
he22_cables,he22,human,human,s2,Smart and sustainable DC cables,4,very important,,zeroshot
he22_connectors,he22,human,human,s2,DC connectors,4,very important,,zeroshot
he22_solidState,he22,human,human,s2,Solid-state circuit breaker,4,very important,,zeroshot
he22_interlink,he22,human,human,s2,LVAC-LVDC interlink converter,4,very important,,zeroshot
he22_networkDesign,he22,human,human,s2,Network design tool for DC solutions,3,important,,zeroshot
he23_cables,he23,human,human,s2,Smart and sustainable DC cables,4,very important,,zeroshot
he23_connectors,he23,human,human,s2,DC connectors,2,somewhat important,,zeroshot
he23_solidState,he23,human,human,s2,Solid-state circuit breaker,4,very important,,zeroshot
he23_interlink,he23,human,human,s2,LVAC-LVDC interlink converter,4,very important,,zeroshot
he23_networkDesign,he23,human,human,s2,Network design tool for DC solutions,4,very important,,zeroshot
phi4_generalist_00_20260628_233958,phi4_generalist,phi4,llm,generalist,Solid-state circuit breaker,4,Very important,0,zeroshot
phi4_normative_00_20260628_233958,phi4_normative,phi4,llm,normative,Solid-state circuit breaker,4,Very important,0,zeroshot
phi4_subject-matter_00_20260628_233958,phi4_subject-matter,phi4,llm,subject-matter,Solid-state circuit breaker,4,Very important,0,zeroshot
llama_generalist_00_20260628_233958,llama_generalist,llama,llm,generalist,Solid-state circuit breaker,3,Important,0,zeroshot
llama_normative_00_20260628_233958,llama_normative,llama,llm,normative,Solid-state circuit breaker,3,Important,0,zeroshot
llama_subject-matter_00_20260628_233958,llama_subject-matter,llama,llm,subject-matter,Solid-state circuit breaker,3,Important,0,zeroshot
mistral_generalist_00_20260628_233958,mistral_generalist,mistral,llm,generalist,Solid-state circuit breaker,3,Important,0,zeroshot
mistral_normative_00_20260628_233958,mistral_normative,mistral,llm,normative,Solid-state circuit breaker,3,Important,0,zeroshot
mistral_subject-matter_00_20260628_233958,mistral_subject-matter,mistral,llm,subject-matter,Solid-state circuit breaker,4,Very important,0,zeroshot
gemma3_generalist_00_20260628_233958,gemma3_generalist,gemma3,llm,generalist,Solid-state circuit breaker,4,Very important,0,zeroshot
gemma3_normative_00_20260628_233958,gemma3_normative,gemma3,llm,normative,Solid-state circuit breaker,4,Very important,0,zeroshot
gemma3_subject-matter_00_20260628_233958,gemma3_subject-matter,gemma3,llm,subject-matter,Solid-state circuit breaker,4,Very important,0,zeroshot
phi4_generalist_01_20260628_234130,phi4_generalist,phi4,llm,generalist,Solid-state circuit breaker,4,Very important,1,zeroshot
phi4_normative_01_20260628_234130,phi4_normative,phi4,llm,normative,Solid-state circuit breaker,4,Very important,1,zeroshot
phi4_subject-matter_01_20260628_234130,phi4_subject-matter,phi4,llm,subject-matter,Solid-state circuit breaker,4,Very important,1,zeroshot
llama_generalist_01_20260628_234130,llama_generalist,llama,llm,generalist,Solid-state circuit breaker,3,Important,1,zeroshot
llama_normative_01_20260628_234130,llama_normative,llama,llm,normative,Solid-state circuit breaker,3,Important,1,zeroshot
llama_subject-matter_01_20260628_234130,llama_subject-matter,llama,llm,subject-matter,Solid-state circuit breaker,3,Important,1,zeroshot
mistral_generalist_01_20260628_234130,mistral_generalist,mistral,llm,generalist,Solid-state circuit breaker,3,Important,1,zeroshot
mistral_normative_01_20260628_234130,mistral_normative,mistral,llm,normative,Solid-state circuit breaker,3,Important,1,zeroshot
mistral_subject-matter_01_20260628_234130,mistral_subject-matter,mistral,llm,subject-matter,Solid-state circuit breaker,4,Very important,1,zeroshot
gemma3_generalist_01_20260628_234130,gemma3_generalist,gemma3,llm,generalist,Solid-state circuit breaker,4,Very important,1,zeroshot
gemma3_normative_01_20260628_234130,gemma3_normative,gemma3,llm,normative,Solid-state circuit breaker,4,Very important,1,zeroshot
gemma3_subject-matter_01_20260628_234130,gemma3_subject-matter,gemma3,llm,subject-matter,Solid-state circuit breaker,4,Very important,1,zeroshot
phi4_generalist_02_20260628_234245,phi4_generalist,phi4,llm,generalist,Solid-state circuit breaker,4,Very important,2,zeroshot
phi4_normative_02_20260628_234245,phi4_normative,phi4,llm,normative,Solid-state circuit breaker,4,Very important,2,zeroshot
phi4_subject-matter_02_20260628_234245,phi4_subject-matter,phi4,llm,subject-matter,Solid-state circuit breaker,4,Very important,2,zeroshot
llama_generalist_02_20260628_234245,llama_generalist,llama,llm,generalist,Solid-state circuit breaker,3,Important,2,zeroshot
llama_normative_02_20260628_234245,llama_normative,llama,llm,normative,Solid-state circuit breaker,3,Important,2,zeroshot
llama_subject-matter_02_20260628_234245,llama_subject-matter,llama,llm,subject-matter,Solid-state circuit breaker,3,Important,2,zeroshot
mistral_generalist_02_20260628_234245,mistral_generalist,mistral,llm,generalist,Solid-state circuit breaker,4,Very important,2,zeroshot
mistral_normative_02_20260628_234245,mistral_normative,mistral,llm,normative,Solid-state circuit breaker,3,Important,2,zeroshot
mistral_subject-matter_02_20260628_234245,mistral_subject-matter,mistral,llm,subject-matter,Solid-state circuit breaker,3,Important,2,zeroshot
gemma3_generalist_02_20260628_234245,gemma3_generalist,gemma3,llm,generalist,Solid-state circuit breaker,4,Very important,2,zeroshot
gemma3_normative_02_20260628_234245,gemma3_normative,gemma3,llm,normative,Solid-state circuit breaker,4,Very important,2,zeroshot
gemma3_subject-matter_02_20260628_234245,gemma3_subject-matter,gemma3,llm,subject-matter,Solid-state circuit breaker,4,Very important,2,zeroshot
phi4_generalist_03_20260628_234403,phi4_generalist,phi4,llm,generalist,Solid-state circuit breaker,4,Very important,3,zeroshot
phi4_normative_03_20260628_234403,phi4_normative,phi4,llm,normative,Solid-state circuit breaker,4,Very important,3,zeroshot
phi4_subject-matter_03_20260628_234403,phi4_subject-matter,phi4,llm,subject-matter,Solid-state circuit breaker,4,Very important,3,zeroshot
llama_generalist_03_20260628_234403,llama_generalist,llama,llm,generalist,Solid-state circuit breaker,3,Important,3,zeroshot
llama_normative_03_20260628_234403,llama_normative,llama,llm,normative,Solid-state circuit breaker,3,Important,3,zeroshot
llama_subject-matter_03_20260628_234403,llama_subject-matter,llama,llm,subject-matter,Solid-state circuit breaker,3,Important,3,zeroshot
mistral_generalist_03_20260628_234403,mistral_generalist,mistral,llm,generalist,Solid-state circuit breaker,3,Important,3,zeroshot
mistral_normative_03_20260628_234403,mistral_normative,mistral,llm,normative,Solid-state circuit breaker,4,Very important,3,zeroshot
mistral_subject-matter_03_20260628_234403,mistral_subject-matter,mistral,llm,subject-matter,Solid-state circuit breaker,4,Very important,3,zeroshot
gemma3_generalist_03_20260628_234403,gemma3_generalist,gemma3,llm,generalist,Solid-state circuit breaker,4,Very important,3,zeroshot
gemma3_normative_03_20260628_234403,gemma3_normative,gemma3,llm,normative,Solid-state circuit breaker,4,Very important,3,zeroshot
gemma3_subject-matter_03_20260628_234403,gemma3_subject-matter,gemma3,llm,subject-matter,Solid-state circuit breaker,4,Very important,3,zeroshot
phi4_generalist_04_20260628_234536,phi4_generalist,phi4,llm,generalist,Solid-state circuit breaker,4,Very important,4,zeroshot
phi4_normative_04_20260628_234536,phi4_normative,phi4,llm,normative,Solid-state circuit breaker,4,Very important,4,zeroshot
phi4_subject-matter_04_20260628_234536,phi4_subject-matter,phi4,llm,subject-matter,Solid-state circuit breaker,4,Very important,4,zeroshot
llama_generalist_04_20260628_234536,llama_generalist,llama,llm,generalist,Solid-state circuit breaker,3,Important,4,zeroshot
llama_normative_04_20260628_234536,llama_normative,llama,llm,normative,Solid-state circuit breaker,3,Important,4,zeroshot
llama_subject-matter_04_20260628_234536,llama_subject-matter,llama,llm,subject-matter,Solid-state circuit breaker,3,Important,4,zeroshot
mistral_generalist_04_20260628_234536,mistral_generalist,mistral,llm,generalist,Solid-state circuit breaker,3,Important,4,zeroshot
mistral_normative_04_20260628_234536,mistral_normative,mistral,llm,normative,Solid-state circuit breaker,3,Important,4,zeroshot
mistral_subject-matter_04_20260628_234536,mistral_subject-matter,mistral,llm,subject-matter,Solid-state circuit breaker,4,Very important,4,zeroshot
gemma3_generalist_04_20260628_234536,gemma3_generalist,gemma3,llm,generalist,Solid-state circuit breaker,4,Very important,4,zeroshot
gemma3_normative_04_20260628_234536,gemma3_normative,gemma3,llm,normative,Solid-state circuit breaker,4,Very important,4,zeroshot
gemma3_subject-matter_04_20260628_234536,gemma3_subject-matter,gemma3,llm,subject-matter,Solid-state circuit breaker,4,Very important,4,zeroshot
phi4_generalist_05_20260628_234741,phi4_generalist,phi4,llm,generalist,Solid-state circuit breaker,4,Very important,5,zeroshot
phi4_normative_05_20260628_234741,phi4_normative,phi4,llm,normative,Solid-state circuit breaker,4,Very important,5,zeroshot
phi4_subject-matter_05_20260628_234741,phi4_subject-matter,phi4,llm,subject-matter,Solid-state circuit breaker,4,Very important,5,zeroshot
llama_generalist_05_20260628_234741,llama_generalist,llama,llm,generalist,Solid-state circuit breaker,3,Important,5,zeroshot
llama_normative_05_20260628_234741,llama_normative,llama,llm,normative,Solid-state circuit breaker,3,Important,5,zeroshot
llama_subject-matter_05_20260628_234741,llama_subject-matter,llama,llm,subject-matter,Solid-state circuit breaker,3,Important,5,zeroshot
mistral_generalist_05_20260628_234741,mistral_generalist,mistral,llm,generalist,Solid-state circuit breaker,3,Important,5,zeroshot
mistral_normative_05_20260628_234741,mistral_normative,mistral,llm,normative,Solid-state circuit breaker,4,Very important,5,zeroshot
mistral_subject-matter_05_20260628_234741,mistral_subject-matter,mistral,llm,subject-matter,Solid-state circuit breaker,3,Important,5,zeroshot
gemma3_generalist_05_20260628_234741,gemma3_generalist,gemma3,llm,generalist,Solid-state circuit breaker,4,Very important,5,zeroshot
gemma3_normative_05_20260628_234741,gemma3_normative,gemma3,llm,normative,Solid-state circuit breaker,4,Very important,5,zeroshot
gemma3_subject-matter_05_20260628_234741,gemma3_subject-matter,gemma3,llm,subject-matter,Solid-state circuit breaker,4,Very important,5,zeroshot
phi4_generalist_06_20260628_234919,phi4_generalist,phi4,llm,generalist,Solid-state circuit breaker,4,Very important,6,zeroshot
phi4_normative_06_20260628_234919,phi4_normative,phi4,llm,normative,Solid-state circuit breaker,4,Very important,6,zeroshot
phi4_subject-matter_06_20260628_234919,phi4_subject-matter,phi4,llm,subject-matter,Solid-state circuit breaker,4,Very important,6,zeroshot
llama_generalist_06_20260628_234919,llama_generalist,llama,llm,generalist,Solid-state circuit breaker,3,Important,6,zeroshot
llama_normative_06_20260628_234919,llama_normative,llama,llm,normative,Solid-state circuit breaker,3,Important,6,zeroshot
llama_subject-matter_06_20260628_234919,llama_subject-matter,llama,llm,subject-matter,Solid-state circuit breaker,3,Important,6,zeroshot
mistral_generalist_06_20260628_234919,mistral_generalist,mistral,llm,generalist,Solid-state circuit breaker,3,Important,6,zeroshot
mistral_normative_06_20260628_234919,mistral_normative,mistral,llm,normative,Solid-state circuit breaker,3,Important,6,zeroshot
mistral_subject-matter_06_20260628_234919,mistral_subject-matter,mistral,llm,subject-matter,Solid-state circuit breaker,4,Very important,6,zeroshot
gemma3_generalist_06_20260628_234919,gemma3_generalist,gemma3,llm,generalist,Solid-state circuit breaker,4,Very important,6,zeroshot
gemma3_normative_06_20260628_234919,gemma3_normative,gemma3,llm,normative,Solid-state circuit breaker,4,Very important,6,zeroshot
gemma3_subject-matter_06_20260628_234919,gemma3_subject-matter,gemma3,llm,subject-matter,Solid-state circuit breaker,4,Very important,6,zeroshot
phi4_generalist_07_20260628_235116,phi4_generalist,phi4,llm,generalist,Solid-state circuit breaker,4,Very important,7,zeroshot
phi4_normative_07_20260628_235116,phi4_normative,phi4,llm,normative,Solid-state circuit breaker,4,Very important,7,zeroshot
phi4_subject-matter_07_20260628_235116,phi4_subject-matter,phi4,llm,subject-matter,Solid-state circuit breaker,4,Very important,7,zeroshot
llama_generalist_07_20260628_235116,llama_generalist,llama,llm,generalist,Solid-state circuit breaker,3,Important,7,zeroshot
llama_normative_07_20260628_235116,llama_normative,llama,llm,normative,Solid-state circuit breaker,3,Important,7,zeroshot
llama_subject-matter_07_20260628_235116,llama_subject-matter,llama,llm,subject-matter,Solid-state circuit breaker,3,Important,7,zeroshot
mistral_generalist_07_20260628_235116,mistral_generalist,mistral,llm,generalist,Solid-state circuit breaker,4,Very important,7,zeroshot
mistral_normative_07_20260628_235116,mistral_normative,mistral,llm,normative,Solid-state circuit breaker,3,Important,7,zeroshot
mistral_subject-matter_07_20260628_235116,mistral_subject-matter,mistral,llm,subject-matter,Solid-state circuit breaker,4,Very important,7,zeroshot
gemma3_generalist_07_20260628_235116,gemma3_generalist,gemma3,llm,generalist,Solid-state circuit breaker,4,Very important,7,zeroshot
gemma3_normative_07_20260628_235116,gemma3_normative,gemma3,llm,normative,Solid-state circuit breaker,4,Very important,7,zeroshot
gemma3_subject-matter_07_20260628_235116,gemma3_subject-matter,gemma3,llm,subject-matter,Solid-state circuit breaker,4,Very important,7,zeroshot
phi4_generalist_08_20260628_235252,phi4_generalist,phi4,llm,generalist,Solid-state circuit breaker,4,Very important,8,zeroshot
phi4_normative_08_20260628_235252,phi4_normative,phi4,llm,normative,Solid-state circuit breaker,4,Very important,8,zeroshot
phi4_subject-matter_08_20260628_235252,phi4_subject-matter,phi4,llm,subject-matter,Solid-state circuit breaker,4,Very important,8,zeroshot
llama_generalist_08_20260628_235252,llama_generalist,llama,llm,generalist,Solid-state circuit breaker,3,Important,8,zeroshot
llama_normative_08_20260628_235252,llama_normative,llama,llm,normative,Solid-state circuit breaker,4,Very important,8,zeroshot
llama_subject-matter_08_20260628_235252,llama_subject-matter,llama,llm,subject-matter,Solid-state circuit breaker,3,Important,8,zeroshot
mistral_generalist_08_20260628_235252,mistral_generalist,mistral,llm,generalist,Solid-state circuit breaker,3,Important,8,zeroshot
mistral_normative_08_20260628_235252,mistral_normative,mistral,llm,normative,Solid-state circuit breaker,4,Very important,8,zeroshot
mistral_subject-matter_08_20260628_235252,mistral_subject-matter,mistral,llm,subject-matter,Solid-state circuit breaker,4,Very important,8,zeroshot
gemma3_generalist_08_20260628_235252,gemma3_generalist,gemma3,llm,generalist,Solid-state circuit breaker,4,Very important,8,zeroshot
gemma3_normative_08_20260628_235252,gemma3_normative,gemma3,llm,normative,Solid-state circuit breaker,4,Very important,8,zeroshot
gemma3_subject-matter_08_20260628_235252,gemma3_subject-matter,gemma3,llm,subject-matter,Solid-state circuit breaker,4,Very important,8,zeroshot
phi4_generalist_09_20260628_235429,phi4_generalist,phi4,llm,generalist,Solid-state circuit breaker,4,Very important,9,zeroshot
phi4_normative_09_20260628_235429,phi4_normative,phi4,llm,normative,Solid-state circuit breaker,4,Very important,9,zeroshot
phi4_subject-matter_09_20260628_235429,phi4_subject-matter,phi4,llm,subject-matter,Solid-state circuit breaker,4,Very important,9,zeroshot
llama_generalist_09_20260628_235429,llama_generalist,llama,llm,generalist,Solid-state circuit breaker,3,Important,9,zeroshot
llama_normative_09_20260628_235429,llama_normative,llama,llm,normative,Solid-state circuit breaker,3,Important,9,zeroshot
llama_subject-matter_09_20260628_235429,llama_subject-matter,llama,llm,subject-matter,Solid-state circuit breaker,3,Important,9,zeroshot
mistral_generalist_09_20260628_235429,mistral_generalist,mistral,llm,generalist,Solid-state circuit breaker,3,Important,9,zeroshot
mistral_normative_09_20260628_235429,mistral_normative,mistral,llm,normative,Solid-state circuit breaker,3,Important,9,zeroshot
mistral_subject-matter_09_20260628_235429,mistral_subject-matter,mistral,llm,subject-matter,Solid-state circuit breaker,3,Important,9,zeroshot
gemma3_generalist_09_20260628_235429,gemma3_generalist,gemma3,llm,generalist,Solid-state circuit breaker,4,Very important,9,zeroshot
