base_model,model,variant_id,iteration,condition,bias_type,anchor_level,rating,label,scenario,rating_ord,id_key
phi4,generalist2,phi4_generalist2,7,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,7,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,7,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,7,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,7,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,8,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,8,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,8,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,8,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,8,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,8,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,9,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,9,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,9,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,9,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,9,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,9,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,10,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,10,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,10,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,10,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,10,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,10,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,11,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,11,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,11,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,11,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,11,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,11,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,12,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,12,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,12,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,12,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,12,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,12,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,13,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,13,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,13,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,13,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,13,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,13,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,14,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,14,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,14,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,14,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,14,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,14,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,15,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,15,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,15,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,15,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,15,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,15,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,16,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,16,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,16,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,16,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,16,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,16,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,17,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,17,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,17,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,17,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,17,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,17,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,18,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,18,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,18,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,18,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,18,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,18,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,19,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,19,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,19,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,19,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,19,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,19,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,20,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,20,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,20,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,20,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,20,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,20,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,21,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,21,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,21,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,21,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,21,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,21,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,22,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,22,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,22,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,22,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,22,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,22,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,23,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,23,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,23,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,23,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,23,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,23,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,24,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,24,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,24,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,24,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,24,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,24,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,25,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,25,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,25,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,25,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,25,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,25,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,26,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,26,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,26,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,26,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,26,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,26,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,27,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,27,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,27,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,27,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,27,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,27,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,28,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,28,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,28,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,28,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,28,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,28,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,29,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,29,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,29,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,29,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,29,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,29,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,30,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,30,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,30,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,30,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,30,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,30,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,31,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,31,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,31,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,31,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,31,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,31,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,32,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,32,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,32,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,32,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,32,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,32,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,33,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,33,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,33,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,33,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,33,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,33,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,34,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,34,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,34,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,34,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,34,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,34,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,35,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,35,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,35,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,35,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,35,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,35,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,36,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,36,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,36,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,36,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,36,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,36,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,37,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,37,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,37,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,37,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,37,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
phi4,subject_matter2,phi4_subject_matter2,37,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter2
phi4,generalist,phi4_generalist,38,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist
phi4,generalist2,phi4_generalist2,38,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_generalist2
phi4,normative,phi4_normative,38,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative
phi4,normative2,phi4_normative2,38,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_normative2
phi4,subject_matter,phi4_subject_matter,38,CONTEXT,NA,NA,3,Feasible,CONTEXT,3,L_phi4_subject_matter
