source,base_model,model,variant_id,iteration,condition,rating,label,scenario,rating_ord
LLM,phi4,normative2,phi4_normative2,12,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,12,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,12,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,13,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,13,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,13,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,13,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,13,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,13,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,14,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,14,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,14,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,14,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,14,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,14,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,15,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,15,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,15,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,15,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,15,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,15,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,16,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,16,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,16,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,16,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,16,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,16,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,17,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,17,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,17,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,17,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,17,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,17,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,18,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,18,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,18,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,18,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,18,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,18,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,19,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,19,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,19,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,19,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,19,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,19,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,20,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,20,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,20,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,20,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,20,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,20,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,21,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,21,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,21,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,21,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,21,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,21,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,22,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,22,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,22,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,22,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,22,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,22,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,23,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,23,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,23,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,23,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,23,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,23,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,24,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,24,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,24,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,24,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,24,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,24,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,25,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,25,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,25,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,25,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,25,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,25,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,26,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,26,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,26,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,26,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,26,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,26,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,27,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,27,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,27,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,27,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,27,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,27,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,28,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,28,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,28,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,28,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,28,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,28,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,29,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,29,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,29,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,29,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,29,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,29,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,30,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,30,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,30,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,30,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,30,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,30,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,31,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,31,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,31,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,31,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,31,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,31,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,32,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,32,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,32,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,32,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,32,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,32,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,33,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,33,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,33,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,33,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,33,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,33,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,34,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,34,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,34,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,34,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,34,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,34,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,35,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,35,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,35,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,35,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,35,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,35,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,36,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,36,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,36,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,36,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,36,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,36,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,37,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,37,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,37,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,37,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,37,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,37,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,38,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,38,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,38,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,38,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,38,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,38,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,39,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,39,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,39,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,39,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,39,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,39,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,40,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,40,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,40,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,40,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,40,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,40,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,41,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,41,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,41,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,41,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,41,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,41,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,42,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,42,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,42,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,42,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,42,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,42,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,43,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,43,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,43,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,43,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,43,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,43,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,44,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,44,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,44,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,44,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,44,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,44,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,45,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,45,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,45,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,45,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,45,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,45,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,46,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,46,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,46,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,46,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,46,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,46,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,47,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,47,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,47,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,47,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,47,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,47,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,48,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,48,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,48,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,48,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,48,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,48,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist,phi4_generalist,49,NEU,3,Feasible,CONTEXT,3
LLM,phi4,generalist2,phi4_generalist2,49,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative,phi4_normative,49,NEU,3,Feasible,CONTEXT,3
LLM,phi4,normative2,phi4_normative2,49,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter,phi4_subject_matter,49,NEU,3,Feasible,CONTEXT,3
LLM,phi4,subject_matter2,phi4_subject_matter2,49,NEU,3,Feasible,CONTEXT,3
LLM,llama-pro,generalist,llama_generalist,0,NEU,3,Feasible,CONTEXT,3
LLM,llama-pro,generalist2,llama_generalist2,0,NEU,3,Feasible,CONTEXT,3
LLM,llama-pro,normative,llama_normative,0,NEU,3,Feasible,CONTEXT,3
LLM,llama-pro,normative2,llama_normative2,0,NEU,3,Feasible,CONTEXT,3
LLM,llama-pro,subject_matter,llama_subject_matter,0,NEU,4,Very feasible,CONTEXT,4
LLM,llama-pro,subject_matter2,llama_subject_matter2,0,NEU,3,Feasible,CONTEXT,3
LLM,mistral,generalist,mistral_generalist,0,NEU,3,Feasible,CONTEXT,3
LLM,mistral,generalist2,mistral_generalist2,0,NEU,3,Feasible,CONTEXT,3
LLM,mistral,normative,mistral_normative,0,NEU,3,Feasible,CONTEXT,3
LLM,mistral,normative2,mistral_normative2,0,NEU,3,Feasible,CONTEXT,3
LLM,mistral,subject_matter,mistral_subject_matter,0,NEU,3,Feasible,CONTEXT,3
LLM,mistral,subject_matter2,mistral_subject_matter2,0,NEU,3,Feasible,CONTEXT,3
LLM,gemma3-12b,generalist,gemma3_generalist,0,NEU,3,Feasible,CONTEXT,3
LLM,gemma3-12b,generalist2,gemma3_generalist2,0,NEU,3,Feasible,CONTEXT,3
LLM,gemma3-12b,normative,gemma3_normative,0,NEU,3,Feasible,CONTEXT,3
LLM,gemma3-12b,normative2,gemma3_normative2,0,NEU,3,Feasible,CONTEXT,3
LLM,gemma3-12b,subject_matter,gemma3_subject_matter,0,NEU,3,Feasible,CONTEXT,3
LLM,gemma3-12b,subject_matter2,gemma3_subject_matter2,0,NEU,3,Feasible,CONTEXT,3
