row_id,variant_id,base_model,model,barrier_id,official_label,condition,iteration
subject-matter_llama_02_b5,subject-matter_llama,llama,subject-matter,5,lack of pilot projects,context,2
generalist_mistral_02_b1,generalist_mistral,mistral,generalist,1,"power losses, quality and safety issues",context,2
generalist_mistral_02_b2,generalist_mistral,mistral,generalist,2,reduced reliability in DC devices,context,2
generalist_mistral_02_b4,generalist_mistral,mistral,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",context,2
generalist_mistral_02_b5,generalist_mistral,mistral,generalist,5,lack of pilot projects,context,2
generalist_mistral_02_b11,generalist_mistral,mistral,generalist,11,high costs of DC solutions,context,2
normative_mistral_02_b1,normative_mistral,mistral,normative,1,"power losses, quality and safety issues",context,2
normative_mistral_02_b2,normative_mistral,mistral,normative,2,reduced reliability in DC devices,context,2
normative_mistral_02_b3,normative_mistral,mistral,normative,3,lack of use-cases in which DC is advantageous,context,2
normative_mistral_02_b4,normative_mistral,mistral,normative,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",context,2
normative_mistral_02_b5,normative_mistral,mistral,normative,5,lack of pilot projects,context,2
subject-matter_mistral_02_b1,subject-matter_mistral,mistral,subject-matter,1,"power losses, quality and safety issues",context,2
subject-matter_mistral_02_b2,subject-matter_mistral,mistral,subject-matter,2,reduced reliability in DC devices,context,2
subject-matter_mistral_02_b3,subject-matter_mistral,mistral,subject-matter,3,lack of use-cases in which DC is advantageous,context,2
subject-matter_mistral_02_b4,subject-matter_mistral,mistral,subject-matter,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",context,2
subject-matter_mistral_02_b5,subject-matter_mistral,mistral,subject-matter,5,lack of pilot projects,context,2
generalist_gemma3_02_b1,generalist_gemma3,gemma3,generalist,1,"power losses, quality and safety issues",context,2
generalist_gemma3_02_b5,generalist_gemma3,gemma3,generalist,5,lack of pilot projects,context,2
generalist_gemma3_02_b6,generalist_gemma3,gemma3,generalist,6,public perception of DC and readiness to 'champion' installations from DC projects,context,2
generalist_gemma3_02_b8,generalist_gemma3,gemma3,generalist,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,context,2
generalist_gemma3_02_b10,generalist_gemma3,gemma3,generalist,10,uncertain regulatory roadmap,context,2
normative_gemma3_02_b1,normative_gemma3,gemma3,normative,1,"power losses, quality and safety issues",context,2
normative_gemma3_02_b4,normative_gemma3,gemma3,normative,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",context,2
normative_gemma3_02_b5,normative_gemma3,gemma3,normative,5,lack of pilot projects,context,2
normative_gemma3_02_b8,normative_gemma3,gemma3,normative,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,context,2
normative_gemma3_02_b10,normative_gemma3,gemma3,normative,10,uncertain regulatory roadmap,context,2
subject-matter_gemma3_02_b1,subject-matter_gemma3,gemma3,subject-matter,1,"power losses, quality and safety issues",context,2
subject-matter_gemma3_02_b3,subject-matter_gemma3,gemma3,subject-matter,3,lack of use-cases in which DC is advantageous,context,2
subject-matter_gemma3_02_b4,subject-matter_gemma3,gemma3,subject-matter,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",context,2
subject-matter_gemma3_02_b8,subject-matter_gemma3,gemma3,subject-matter,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,context,2
subject-matter_gemma3_02_b10,subject-matter_gemma3,gemma3,subject-matter,10,uncertain regulatory roadmap,context,2
generalist_phi4_02_b1,generalist_phi4,phi4,generalist,1,"power losses, quality and safety issues",context,2
generalist_phi4_02_b3,generalist_phi4,phi4,generalist,3,lack of use-cases in which DC is advantageous,context,2
generalist_phi4_02_b4,generalist_phi4,phi4,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",context,2
generalist_phi4_02_b5,generalist_phi4,phi4,generalist,5,lack of pilot projects,context,2
generalist_phi4_02_b10,generalist_phi4,phi4,generalist,10,uncertain regulatory roadmap,context,2
normative_phi4_02_b1,normative_phi4,phi4,normative,1,"power losses, quality and safety issues",context,2
normative_phi4_02_b4,normative_phi4,phi4,normative,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",context,2
normative_phi4_02_b5,normative_phi4,phi4,normative,5,lack of pilot projects,context,2
normative_phi4_02_b6,normative_phi4,phi4,normative,6,public perception of DC and readiness to 'champion' installations from DC projects,context,2
normative_phi4_02_b10,normative_phi4,phi4,normative,10,uncertain regulatory roadmap,context,2
subject-matter_phi4_02_b1,subject-matter_phi4,phi4,subject-matter,1,"power losses, quality and safety issues",context,2
subject-matter_phi4_02_b2,subject-matter_phi4,phi4,subject-matter,2,reduced reliability in DC devices,context,2
subject-matter_phi4_02_b3,subject-matter_phi4,phi4,subject-matter,3,lack of use-cases in which DC is advantageous,context,2
subject-matter_phi4_02_b4,subject-matter_phi4,phi4,subject-matter,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",context,2
subject-matter_phi4_02_b11,subject-matter_phi4,phi4,subject-matter,11,high costs of DC solutions,context,2
generalist_llama_03_b1,generalist_llama,llama,generalist,1,"power losses, quality and safety issues",context,3
generalist_llama_03_b2,generalist_llama,llama,generalist,2,reduced reliability in DC devices,context,3
generalist_llama_03_b3,generalist_llama,llama,generalist,3,lack of use-cases in which DC is advantageous,context,3
generalist_llama_03_b4,generalist_llama,llama,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",context,3
generalist_llama_03_b5,generalist_llama,llama,generalist,5,lack of pilot projects,context,3
normative_llama_03_b1,normative_llama,llama,normative,1,"power losses, quality and safety issues",context,3
normative_llama_03_b7,normative_llama,llama,normative,7,incompatibility of DC systems components,context,3
normative_llama_03_b8,normative_llama,llama,normative,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,context,3
normative_llama_03_b9,normative_llama,llama,normative,9,lack of enough trained personnel in DC systems,context,3
normative_llama_03_b10,normative_llama,llama,normative,10,uncertain regulatory roadmap,context,3
subject-matter_llama_03_b1,subject-matter_llama,llama,subject-matter,1,"power losses, quality and safety issues",context,3
subject-matter_llama_03_b2,subject-matter_llama,llama,subject-matter,2,reduced reliability in DC devices,context,3
subject-matter_llama_03_b3,subject-matter_llama,llama,subject-matter,3,lack of use-cases in which DC is advantageous,context,3
subject-matter_llama_03_b4,subject-matter_llama,llama,subject-matter,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",context,3
subject-matter_llama_03_b5,subject-matter_llama,llama,subject-matter,5,lack of pilot projects,context,3
generalist_mistral_03_b1,generalist_mistral,mistral,generalist,1,"power losses, quality and safety issues",context,3
generalist_mistral_03_b2,generalist_mistral,mistral,generalist,2,reduced reliability in DC devices,context,3
generalist_mistral_03_b4,generalist_mistral,mistral,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",context,3
generalist_mistral_03_b5,generalist_mistral,mistral,generalist,5,lack of pilot projects,context,3
generalist_mistral_03_b6,generalist_mistral,mistral,generalist,6,public perception of DC and readiness to 'champion' installations from DC projects,context,3
normative_mistral_03_b1,normative_mistral,mistral,normative,1,"power losses, quality and safety issues",context,3
normative_mistral_03_b2,normative_mistral,mistral,normative,2,reduced reliability in DC devices,context,3
normative_mistral_03_b3,normative_mistral,mistral,normative,3,lack of use-cases in which DC is advantageous,context,3
normative_mistral_03_b4,normative_mistral,mistral,normative,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",context,3
normative_mistral_03_b5,normative_mistral,mistral,normative,5,lack of pilot projects,context,3
subject-matter_mistral_03_b1,subject-matter_mistral,mistral,subject-matter,1,"power losses, quality and safety issues",context,3
subject-matter_mistral_03_b2,subject-matter_mistral,mistral,subject-matter,2,reduced reliability in DC devices,context,3
subject-matter_mistral_03_b3,subject-matter_mistral,mistral,subject-matter,3,lack of use-cases in which DC is advantageous,context,3
subject-matter_mistral_03_b4,subject-matter_mistral,mistral,subject-matter,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",context,3
subject-matter_mistral_03_b5,subject-matter_mistral,mistral,subject-matter,5,lack of pilot projects,context,3
generalist_gemma3_03_b1,generalist_gemma3,gemma3,generalist,1,"power losses, quality and safety issues",context,3
generalist_gemma3_03_b3,generalist_gemma3,gemma3,generalist,3,lack of use-cases in which DC is advantageous,context,3
generalist_gemma3_03_b4,generalist_gemma3,gemma3,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",context,3
generalist_gemma3_03_b8,generalist_gemma3,gemma3,generalist,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,context,3
generalist_gemma3_03_b11,generalist_gemma3,gemma3,generalist,11,high costs of DC solutions,context,3
normative_gemma3_03_b1,normative_gemma3,gemma3,normative,1,"power losses, quality and safety issues",context,3
normative_gemma3_03_b5,normative_gemma3,gemma3,normative,5,lack of pilot projects,context,3
normative_gemma3_03_b6,normative_gemma3,gemma3,normative,6,public perception of DC and readiness to 'champion' installations from DC projects,context,3
normative_gemma3_03_b10,normative_gemma3,gemma3,normative,10,uncertain regulatory roadmap,context,3
normative_gemma3_03_b11,normative_gemma3,gemma3,normative,11,high costs of DC solutions,context,3
subject-matter_gemma3_03_b1,subject-matter_gemma3,gemma3,subject-matter,1,"power losses, quality and safety issues",context,3
subject-matter_gemma3_03_b3,subject-matter_gemma3,gemma3,subject-matter,3,lack of use-cases in which DC is advantageous,context,3
subject-matter_gemma3_03_b4,subject-matter_gemma3,gemma3,subject-matter,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",context,3
subject-matter_gemma3_03_b8,subject-matter_gemma3,gemma3,subject-matter,8,misconception and lack of knowledge leads to lengthy/expensive design and permit process,context,3
subject-matter_gemma3_03_b10,subject-matter_gemma3,gemma3,subject-matter,10,uncertain regulatory roadmap,context,3
generalist_phi4_03_b1,generalist_phi4,phi4,generalist,1,"power losses, quality and safety issues",context,3
generalist_phi4_03_b3,generalist_phi4,phi4,generalist,3,lack of use-cases in which DC is advantageous,context,3
generalist_phi4_03_b4,generalist_phi4,phi4,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",context,3
generalist_phi4_03_b5,generalist_phi4,phi4,generalist,5,lack of pilot projects,context,3
generalist_phi4_03_b10,generalist_phi4,phi4,generalist,10,uncertain regulatory roadmap,context,3
normative_phi4_03_b1,normative_phi4,phi4,normative,1,"power losses, quality and safety issues",context,3
normative_phi4_03_b2,normative_phi4,phi4,normative,2,reduced reliability in DC devices,context,3
normative_phi4_03_b3,normative_phi4,phi4,normative,3,lack of use-cases in which DC is advantageous,context,3
normative_phi4_03_b4,normative_phi4,phi4,normative,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",context,3
normative_phi4_03_b11,normative_phi4,phi4,normative,11,high costs of DC solutions,context,3
subject-matter_phi4_03_b1,subject-matter_phi4,phi4,subject-matter,1,"power losses, quality and safety issues",context,3
subject-matter_phi4_03_b2,subject-matter_phi4,phi4,subject-matter,2,reduced reliability in DC devices,context,3
subject-matter_phi4_03_b3,subject-matter_phi4,phi4,subject-matter,3,lack of use-cases in which DC is advantageous,context,3
subject-matter_phi4_03_b4,subject-matter_phi4,phi4,subject-matter,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",context,3
subject-matter_phi4_03_b11,subject-matter_phi4,phi4,subject-matter,11,high costs of DC solutions,context,3
generalist_llama_04_b1,generalist_llama,llama,generalist,1,"power losses, quality and safety issues",context,4
generalist_llama_04_b2,generalist_llama,llama,generalist,2,reduced reliability in DC devices,context,4
generalist_llama_04_b4,generalist_llama,llama,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",context,4
generalist_llama_04_b5,generalist_llama,llama,generalist,5,lack of pilot projects,context,4
generalist_llama_04_b6,generalist_llama,llama,generalist,6,public perception of DC and readiness to 'champion' installations from DC projects,context,4
normative_llama_04_b1,normative_llama,llama,normative,1,"power losses, quality and safety issues",context,4
normative_llama_04_b2,normative_llama,llama,normative,2,reduced reliability in DC devices,context,4
normative_llama_04_b4,normative_llama,llama,normative,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",context,4
normative_llama_04_b5,normative_llama,llama,normative,5,lack of pilot projects,context,4
normative_llama_04_b6,normative_llama,llama,normative,6,public perception of DC and readiness to 'champion' installations from DC projects,context,4
subject-matter_llama_04_b1,subject-matter_llama,llama,subject-matter,1,"power losses, quality and safety issues",context,4
subject-matter_llama_04_b2,subject-matter_llama,llama,subject-matter,2,reduced reliability in DC devices,context,4
subject-matter_llama_04_b3,subject-matter_llama,llama,subject-matter,3,lack of use-cases in which DC is advantageous,context,4
subject-matter_llama_04_b4,subject-matter_llama,llama,subject-matter,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",context,4
subject-matter_llama_04_b5,subject-matter_llama,llama,subject-matter,5,lack of pilot projects,context,4
generalist_mistral_04_b1,generalist_mistral,mistral,generalist,1,"power losses, quality and safety issues",context,4
generalist_mistral_04_b2,generalist_mistral,mistral,generalist,2,reduced reliability in DC devices,context,4
generalist_mistral_04_b3,generalist_mistral,mistral,generalist,3,lack of use-cases in which DC is advantageous,context,4
generalist_mistral_04_b4,generalist_mistral,mistral,generalist,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",context,4
generalist_mistral_04_b5,generalist_mistral,mistral,generalist,5,lack of pilot projects,context,4
normative_mistral_04_b1,normative_mistral,mistral,normative,1,"power losses, quality and safety issues",context,4
normative_mistral_04_b2,normative_mistral,mistral,normative,2,reduced reliability in DC devices,context,4
normative_mistral_04_b3,normative_mistral,mistral,normative,3,lack of use-cases in which DC is advantageous,context,4
normative_mistral_04_b4,normative_mistral,mistral,normative,4,"uncertain utility interaction (net metering, utility ownership, and agreed standards)",context,4
normative_mistral_04_b5,normative_mistral,mistral,normative,5,lack of pilot projects,context,4
